place,mobility,coefficient,r2,p_val,period
ontario,retail,0.006233622947367889,0.011259304098148903,0.19333028362997326,Lockdown
ontario,grocery,0.005201504361085829,0.029038403098437082,0.09273637124431448,Lockdown
ontario,parks,-2.1414793480564406e-4,-0.015579305974142477,0.8930572310368383,Lockdown
ontario,transit,0.010278614660158504,0.03200577237466884,0.08236841804746248,Lockdown
ontario,workplaces,0.0045924916815920265,0.008496397264189604,0.21797713048572198,Lockdown
ontario,residential,-0.00574304901692716,-0.006151925863433716,0.43820516026839407,Lockdown
ontario,global,0.0052973681993023535,0.001685242024687339,0.2965296397932159,Lockdown
peel,retail,-0.006826993304254351,0.02550042193735469,0.06399541700651239,Lockdown
peel,grocery,-1.2321101359723728e-5,-0.010526172211676288,0.9970763331860469,Lockdown
peel,parks,-0.0028691453304188442,0.07325799196270677,0.004236573271267516,Lockdown
peel,transit,0.016969540789205092,0.06532907555945211,0.0066159341457711004,Lockdown
peel,workplaces,-0.00285531751496257,-0.0012150765274578923,0.3496302632467646,Lockdown
peel,residential,0.0070355448186380206,0.0018167313510153438,0.2811758714314831,Lockdown
peel,global,-0.0064332736655586436,0.023277461713859027,0.07295025312080597,Lockdown
toronto,retail,-0.011161810032711345,0.14689127327890927,4.91421408778952e-5,Lockdown
toronto,grocery,-0.00539753850035548,0.043311052742295075,0.02123924303931193,Lockdown
toronto,parks,-0.0025005664937203936,0.23944567270517136,1.4312912340187534e-7,Lockdown
toronto,transit,-0.009252134353945783,0.08410790637699839,0.001992521296761245,Lockdown
toronto,workplaces,-0.004104964497566708,0.03784274355046224,0.029275973098806137,Lockdown
toronto,residential,0.007612643503389851,0.027399422471061308,0.0544552370436381,Lockdown
toronto,global,-0.0088942066589562975,0.1984908618060931,2.0313877890546648e-6,Lockdown
waterloo,retail,-0.007024700681519204,0.05672497602946669,0.015970370372464213,Lockdown
waterloo,grocery,-0.002993498366349481,0.008090198178709485,0.19784127049656935,Lockdown
waterloo,parks,-0.0035130758624180858,0.09612145416000639,0.0022589881305141017,Lockdown
waterloo,transit,-0.007961246256810887,0.09278668991838601,0.0026669716434065288,Lockdown
waterloo,workplaces,-0.0015774827774778359,-0.006605695028032432,0.5047824920331736,Lockdown
waterloo,residential,0.0041343940972690015,-0.0040147208241692045,0.41744424365013644,Lockdown
waterloo,global,-0.008709675292598204,0.07792758924398457,0.00557777660882954,Lockdown
york,retail,0.013317066513111186,0.08690127721953811,0.01033769847270831,Lockdown
york,grocery,0.009196835422712336,0.11872803624561867,0.003082336466337176,Lockdown
york,parks,1.1893318675029758e-4,-0.01588650836201322,0.9035611553830294,Lockdown
york,transit,0.003796415477320432,-0.007897459075301594,0.47938837072926654,Lockdown
york,workplaces,0.005396571788144518,0.016779313431386167,0.15474762222147687,Lockdown
york,residential,-0.007626308176976027,0.005155360621233229,0.25385598295575523,Lockdown
york,global,0.005167445922421486,0.00963467754534475,0.2088318316257259,Lockdown
ontario,retail,0.011269038018557472,0.15306420320673264,7.467352770167099e-4,7 Days after lockdown
ontario,grocery,0.0071600719943873264,0.14626296491762614,9.778032043447822e-4,7 Days after lockdown
ontario,parks,0.0014689764647509767,0.01045791786350847,0.20013140869770907,7 Days after lockdown
ontario,transit,0.015026515779249064,0.17908286756301428,2.626030227189017e-4,7 Days after lockdown
ontario,workplaces,0.0060310942456105665,0.06420002579337791,0.02349118065853031,7 Days after lockdown
ontario,residential,-0.008611462893638575,0.025768791357372423,0.10578461945473325,7 Days after lockdown
ontario,global,0.010762050850288033,0.12219623384523803,0.002512845907929151,7 Days after lockdown
peel,retail,-0.0041530983744246805,0.026233531864765403,0.06130178505424737,7 Days after lockdown
peel,grocery,-1.4612636338712508e-4,-0.01047063457992281,0.9424733975879811,7 Days after lockdown
peel,parks,-0.0018930488760651792,0.0900381446266767,0.001647000912277899,7 Days after lockdown
peel,transit,0.007542433233013415,0.030791038479446864,0.04700645888344897,7 Days after lockdown
peel,workplaces,-0.002022812431786817,0.002358350587499891,0.27080022315336205,7 Days after lockdown
peel,residential,0.004303726390633227,0.002208114145450746,0.27362992849008627,7 Days after lockdown
peel,global,-0.004461852656770824,0.03430638611757497,0.038369819276043056,7 Days after lockdown
toronto,retail,-0.007466206553618739,0.09426345483835352,0.0011044911964373692,7 Days after lockdown
toronto,grocery,-0.002581244943428619,0.007985839715900278,0.18317946185241485,7 Days after lockdown
toronto,parks,-0.001751451674850587,0.17182379708226647,1.0749586696616323e-5,7 Days after lockdown
toronto,transit,-0.006658421121473053,0.062391939555803466,0.007005915625546856,7 Days after lockdown
toronto,workplaces,-0.0029656710736485244,0.027067610449907353,0.05555230180841864,7 Days after lockdown
toronto,residential,0.005419190619643124,0.018117235630287776,0.09589303582430808,7 Days after lockdown
toronto,global,-0.0060876133756682296,0.1351003571742998,9.969960860755154e-5,7 Days after lockdown
waterloo,retail,-0.003094396175076712,0.008941341672951242,0.1885304609973036,7 Days after lockdown
waterloo,grocery,-0.001972772324836436,0.0017083162527247175,0.2879629281338224,7 Days after lockdown
waterloo,parks,-5.614517111902452e-4,-0.007702662669926363,0.5512916586412804,7 Days after lockdown
waterloo,transit,-0.00559026518973873,0.06925284814447019,0.00857493237532369,7 Days after lockdown
