t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end
2,8,2.7652017564786853,0.4888232283387577,1.8913959544289978,2.013192402665834,2.421712251156969,2.7364515227705306,3.07737317416409,3.6152965309310003,3.802327444068856,2020-03-04,2020-03-10
3,9,3.473179603256153,0.4726398785010942,2.6091594129501625,2.7340002159410792,3.143795248677599,3.4517639097495567,3.7792283870789363,4.285416796822727,4.458874723511582,2020-03-05,2020-03-11
4,10,3.7990644147407338,0.40730245796997516,3.04289485796418,3.154839402785643,3.516991217238226,3.7845185685847933,4.065285106440716,4.492909530536643,4.637884753972011,2020-03-06,2020-03-12
5,11,3.3612509601222347,0.3068388287158076,2.786811087788303,2.872964557684372,3.1495193572632996,3.35191877670705,3.5628113021937122,3.881371627545298,3.988719257989718,2020-03-07,2020-03-13
6,12,2.7946716636379794,0.22972059567653094,2.3625704210521414,2.4278506011337297,2.6364889996771765,2.788379884552274,2.94599658432545,3.1829552838286506,3.2625255068985664,2020-03-08,2020-03-14
7,13,2.471879818160964,0.18475697211587783,2.1230144351787397,2.1760325469302324,2.3448819027739765,2.46727821701683,2.593862065697188,2.7834240058264546,2.84689387088075,2020-03-09,2020-03-15
8,14,2.4091628405263212,0.16025512834245545,2.10528383442056,2.15176462211689,2.2992232865572433,2.4056104362265867,2.5152302270593774,2.6786788969661104,2.7332287366727206,2020-03-10,2020-03-16
9,15,2.292393200121795,0.13823651121392894,2.0294343717422647,2.0698511707272034,2.1977016535794354,2.2896151412607115,2.384056569460728,2.524411608546805,2.571138781546693,2020-03-11,2020-03-17
10,16,2.0588950736179155,0.11674922866050783,1.8364042327756704,1.8706963718013174,1.9789924596252506,2.0566887474631947,2.1363926942633635,2.254619871276503,2.2939237740594414,2020-03-12,2020-03-18
11,17,1.8710322474263827,0.10102624534025469,1.6782406093040534,1.7080173450031344,1.8019363531195554,1.869214260400461,1.9381464412002272,2.040248555417099,2.074154974935347,2020-03-13,2020-03-19
12,18,1.8933139617317052,0.0938480888356481,1.7138199798752163,1.7416371367192498,1.8291976494410938,1.8917635620203088,1.955740239280685,2.05027940233549,2.081618463568661,2020-03-14,2020-03-20
13,19,1.7767756565323742,0.08394475933461032,1.6160349801713907,1.640990040879515,1.7194583127555554,1.7754538258465586,1.832652112750981,1.917070203763275,1.9450279756935642,2020-03-15,2020-03-21
