t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end
2,8,1.8778542086422367,0.39155966999964775,1.1903984840709547,1.2834315125445748,1.6010629891955264,1.8507101671627035,2.125085711753188,2.564888415586022,2.7194810635622373,2020-03-12,2020-03-18
3,9,1.674187463101342,0.34174208486357727,1.0726834977606416,1.1544247142750717,1.4328054436034112,1.6509931496710992,1.890309891994095,2.2730850887298204,2.407432245831162,2020-03-13,2020-03-19
4,10,1.6897957975540037,0.32520135286443413,1.1135860782896125,1.192752316678328,1.4605945809947796,1.6689805290189865,1.8963257697183586,2.2578555825748383,2.384240792562251,2020-03-14,2020-03-20
5,11,1.4535424055968698,0.2850631188451168,0.9495021578156619,1.0185165414517585,1.2524924342516774,1.4349503181594747,1.6343432376751912,1.9520001217001763,2.0631878153083254,2020-03-15,2020-03-21
6,12,1.7049817395951106,0.29679922467598485,1.173630978301864,1.2478755652025366,1.496534772625305,1.6877909710604897,1.8947021023430886,2.2207363247467065,2.3339883603523113,2020-03-16,2020-03-23
7,13,2.168512948573797,0.3163101228067911,1.5933417493224764,1.6757476279264327,1.9476231327369502,2.153152966064233,2.372666890318405,2.71367828366268,2.830949993919531,2020-03-17,2020-03-24
8,14,2.077460055336458,0.28012465671614384,1.5650272224521673,1.639146724776503,1.882291596088785,2.0648830442257653,2.258923887627399,2.558678708509481,2.66135046455255,2020-03-18,2020-03-25
9,15,2.5387825711606564,0.280361633705494,2.0191691208672777,2.0958889883450045,2.3444815294237675,2.5284698082257426,2.721844637246369,3.016856109912448,3.1169935272387863,2020-03-19,2020-03-26
10,16,2.9143086656394037,0.26384910924184013,2.4201572069887796,2.4943141177470523,2.7322732846499314,2.906349952921905,3.087669720237417,3.3614522288072686,3.4536841323718477,2020-03-20,2020-03-27
11,17,2.418468943524464,0.20439793175484816,2.0344604927767964,2.0923677487909407,2.2776469687667373,2.412713127853568,2.553017407330643,2.764204453382216,2.835184259318435,2020-03-21,2020-03-28
12,18,2.262087259744904,0.17349417299420294,1.9348180683820855,1.984477372159813,2.1427759688179484,2.2576533439834887,2.3765656909206965,2.5548220809752595,2.6145521514456354,2020-03-23,2020-03-29
13,19,2.4797469215960803,0.16245362223844556,2.171540606236926,2.2187203741683317,2.36832617460906,2.476200261717591,2.5873017504805875,2.7528717035402943,2.808107517732488,2020-03-24,2020-03-30
14,20,1.9635241517441029,0.12727636664451325,1.7219706840450917,1.7589672931987181,1.8762447164648455,1.9607748036956154,2.0478067456481526,2.1774594799025095,2.2207011068322577,2020-03-25,2020-03-31
15,21,1.904056313617055,0.11419770886564125,1.6867889926359494,1.7201914469851245,1.8258374794969847,1.9017737597723838,1.9797870852879855,2.0957073151248276,2.1342946095070583,2020-03-26,2020-04-01
16,22,1.8334412579422121,0.1034670760015995,1.6362352867891292,1.6666366788628677,1.7626335962458484,1.8314952973884902,1.9021277348012504,2.006883787292964,2.041705516943584,2020-03-27,2020-04-02
17,23,1.5391961457249348,0.08784656402570411,1.3718168151345917,1.397607379808504,1.479068956435655,1.537525245957245,1.5975019819766125,1.6864845923076646,1.7160706706341067,2020-03-28,2020-04-03
18,24,1.4286338393080282,0.0803669323729478,1.2754423494431173,1.299061700354147,1.3736371648480583,1.4271271245200612,1.4819881258585013,1.5633455977524366,1.5903875223038952,2020-03-29,2020-04-04
19,25,1.6100728699394917,0.08216368708438039,1.4530423490173623,1.4773509946419774,1.5539189123319617,1.6086754531290548,1.664703559240675,1.7475615198439098,1.77504453384002,2020-03-30,2020-04-05
20,26,1.3611248290800932,0.07163814889895227,1.2243212039418856,1.2454727121550957,1.312145085734045,1.359868225968142,1.4087348048866113,1.4810633900475467,1.5050693759054115,2020-03-31,2020-04-06
21,27,1.375958745458666,0.06940793725288354,1.2432675766358154,1.2638176858075858,1.3285294775449819,1.3747918658351732,1.4221160426615782,1.4920801854771177,1.5152809815899564,2020-04-01,2020-04-07
22,28,1.4181494924280877,0.06823074926704063,1.2875555802155736,1.3078169416201515,1.3715515993615612,1.4170553915064388,1.463554741578852,1.5322141613994564,1.55496090798321,2020-04-02,2020-04-08
23,29,1.264734877912879,0.06200872905768422,1.1461046852588743,1.16449702665222,1.2223766440164452,1.2637216130426017,1.305988586974667,1.3684291068247934,1.3891231962483765,2020-04-03,2020-04-09
24,30,1.266668926483627,0.06045480944293631,1.1509357677624161,1.1688967918494195,1.2253855317419793,1.26570727287655,1.3069040529152838,1.3677213839248776,1.38786692596374,2020-04-04,2020-04-10
25,31,1.3284400437083557,0.060508785921626694,1.212476639359557,1.2305032830663647,1.2871422197578768,1.3275214568511262,1.3687365402474359,1.4295102176899406,1.4496235645080504,2020-04-05,2020-04-11
26,32,1.1215961471034535,0.053962819787685495,1.0183111058896832,1.034335555362592,1.0847424743379181,1.1207308367925053,1.157506573174668,1.2118084229756356,1.229798531538729,2020-04-06,2020-04-12
27,33,1.163128984328845,0.054231168524516024,1.0592526522661125,1.075387122352803,1.1261057529687453,1.162286245904278,1.1992335708164101,1.2537455327432947,1.2717943977426267,2020-04-07,2020-04-13
