t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end
2,8,2.4997071777801048,0.5891866321296663,1.4814848967165442,1.615686360596879,2.0812172442805745,2.453571806890648,2.86797067269808,3.5411449147766567,3.779924823065741,2020-03-04,2020-03-10
3,9,2.935292325416308,0.5648972714097827,1.9343761382442899,2.0718933769016714,2.537153939159095,2.899134762431031,3.2940491900859876,3.922051512391979,4.141591374817471,2020-03-05,2020-03-11
4,10,3.917681034219268,0.5596687191741812,2.8983219962556577,3.044749459985588,3.5270904054548864,3.891062614254275,4.279268259550977,4.8814199593098895,5.088271029566982,2020-03-06,2020-03-12
5,11,3.0704772384523005,0.39639690698115665,2.3430976051578174,2.4488242470902475,2.794637438824179,3.0534359818453676,3.3277472442481377,3.7502644612653806,3.8946803958372858,2020-03-07,2020-03-13
6,12,2.3203538527897853,0.28780447428382827,1.7908001166022591,1.8681031649834015,2.1202984800539846,2.3084655115953026,2.5074541486654627,2.813159941200751,2.917454836612846,2020-03-08,2020-03-14
7,13,2.1388579732036024,0.2453438357837034,1.6851768124559052,1.7519242920024367,1.968664548911465,2.129484366944061,2.2988361602081095,2.5577680222122,2.645799661639708,2020-03-09,2020-03-15
8,14,2.147355597471126,0.2226704025986549,1.7331931081802137,1.7946840659620409,1.993269046563806,2.139663905951752,2.2930593611895995,2.5262656207505634,2.6052233705148553,2020-03-10,2020-03-16
9,15,2.0027324795691728,0.1945225743489246,1.639673258058303,1.6938669992873938,1.8683240619098151,1.9964381116655374,2.1302807678627933,2.333069646645045,2.401557794481964,2020-03-11,2020-03-17
10,16,1.9534970751350498,0.17542921609402598,1.624817797429068,1.6741715945100868,1.8324850217487887,1.948248255904762,2.068788339801881,2.25072748345598,2.312001910179506,2020-03-12,2020-03-18
11,17,1.7932363856499032,0.15433721460967234,1.503511838672358,1.547147138424495,1.6868658373870544,1.7888105903387181,1.8947830995825674,2.054422985538537,2.108110001226694,2020-03-13,2020-03-19
12,18,1.8131620116048655,0.14424742457229703,1.541463343133784,1.5825970369420426,1.713896685950036,1.8093382132981564,1.9082595347232887,2.0567707229562533,2.106589268260262,2020-03-14,2020-03-20
13,19,1.6376915306119098,0.12749411274436404,1.3973371426406678,1.4337748078242278,1.5499904190002756,1.6343842537301458,1.7217878065205667,1.8528900170433322,1.8968394575451257,2020-03-15,2020-03-21
14,20,1.6193859345698425,0.11938271498135192,1.393844202564389,1.4281481307186876,1.5373447836542047,1.6164532110953895,1.6982304547334603,1.8206277951850627,1.8615929452364157,2020-03-16,2020-03-22
15,21,1.6302499256844674,0.11331020267356214,1.4157168542767677,1.448454820900084,1.5524601671208282,1.6276254773756276,1.7051790285522017,1.8209974761513041,1.859696608268023,2020-03-17,2020-03-23
16,22,1.6213715597192009,0.10667841658768125,1.4190109727953124,1.449981190705554,1.5481999074054,1.619032519364455,1.691993621486253,1.8007407778980393,1.837023991775479,2020-03-18,2020-03-24
17,23,1.470484303416408,0.09592381921029586,1.2884720848899893,1.3163403211789915,1.4046982462307034,1.4683990368640234,1.5339973835032799,1.6317414681589322,1.6643462815760286,2020-03-19,2020-03-25
18,24,1.7674529628260567,0.10054688606364602,1.5758569763864134,1.6053831687931588,1.698636067028692,1.7655466914080873,1.834191939267738,1.9360253235402405,1.9698816890409407,2020-03-20,2020-03-26
19,25,1.8673418827050168,0.0966872976692108,1.682623609208157,1.7112020117005216,1.8012497042965978,1.8656733885817727,1.9316153055467102,2.029173211353705,2.0615417492410986,2020-03-21,2020-03-27
20,26,1.7027108055963827,0.08513554027981914,1.5399158881659456,1.5651367702232608,1.6445406146726593,1.7012920903281656,1.7593345078067517,1.8451242648329387,1.8735679100349547,2020-03-22,2020-03-28
21,27,1.5018179829053417,0.07471823729584824,1.3589250086505689,1.3810667985103091,1.450768717031772,1.5005790410776783,1.5515167236122671,1.6267953598355642,1.651751541033299,2020-03-23,2020-03-29
22,28,1.466479952300094,0.07039329033173765,1.3317394031749767,1.3526458766464464,1.4184064877863292,1.46535377753234,1.5133258099296059,1.5841555538953758,1.6076202733202398,2020-03-24,2020-03-30
