t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end
2,8,2.781940651151586,0.5353847279373103,1.8333164186078759,1.9636491943735148,2.4046026422853837,2.747672107114477,3.121954590159422,3.7171475030809153,3.9252177053368644,2020-03-10,2020-03-17
3,9,2.3979019879571983,0.4238931890763095,1.6401631846621663,1.7457814979259156,2.1000379475761988,2.372970627197899,2.668607899848593,3.1350792824657425,3.2972670133869864,2020-03-11,2020-03-18
4,10,2.4331918736291973,0.38000072830145754,1.7461004977790677,1.8436559103466146,2.167262538400307,2.4134386729441206,2.67760019110638,3.090116238925618,3.2325041258620417,2020-03-12,2020-03-19
5,11,2.891907693949288,0.3672726444043876,2.2172090464803893,2.3154532759427804,2.6364497880653395,2.8763747513387496,3.1304391932577706,3.521350761023032,3.654860666253197,2020-03-14,2020-03-20
6,12,2.291243654117958,0.27991996410850134,1.7756823606907566,1.851061270017196,2.0967475921916927,2.2798545691985543,2.4733285577639617,2.770278203954998,2.87151589804795,2020-03-15,2020-03-21
7,13,1.9644442935861868,0.22992081372421957,1.5398107395743197,1.602163049456406,1.8048678410215406,1.9554815464146675,2.1142533835474393,2.3573004194985216,2.4400035354670604,2020-03-16,2020-03-22
8,14,2.0160820978021055,0.21370427495890065,1.6190794730178053,1.677911093709472,1.8681234924301546,2.0085362767941963,2.155816987327884,2.379994053408088,2.455960885192848,2020-03-17,2020-03-23
9,15,2.3928708409711676,0.21317387756466055,1.9933253137014633,2.053354829637942,2.2458466200715415,2.3865434806986445,2.532998729653849,2.75397091683491,2.828370617301621,2020-03-18,2020-03-24
10,16,2.0952800648286813,0.17708348616378022,1.7625880723465392,1.8127569692679728,1.9732766472575316,2.0902934199249503,2.211848323735314,2.394813669941936,2.4563081839739556,2020-03-19,2020-03-25
11,17,1.864306398685126,0.15072023922144398,1.5806049662820907,1.6235117686401856,1.760555310553444,1.8602463058744683,1.9636321534621926,2.1189508278362856,2.171079093165877,2020-03-20,2020-03-26
12,18,1.6643231892457444,0.1315763010163002,1.4164274802048242,1.453972415683756,1.5737882535546448,1.6608571363999969,1.7510802449967156,1.8864973537109944,1.931914631312883,2020-03-21,2020-03-27
13,19,1.5374255690902847,0.11896956236540791,1.313087730133246,1.3471099021553374,1.455597388097856,1.5343579466816617,1.6159101250432144,1.738205487785661,1.7791951310206822,2020-03-22,2020-03-28
14,20,1.4454219077103871,0.1098933926727007,1.238054128044369,1.269536424847409,1.3698605753476456,1.4426378503908075,1.5179486783457175,1.6308043368861738,1.6686100972759592,2020-03-23,2020-03-29
15,21,1.6349538859657617,0.11228909390317882,1.422264308260562,1.4547419464071278,1.557880371340033,1.6323839235625268,1.7092261271241103,1.823932405206608,1.8622474759861587,2020-03-24,2020-03-30
16,22,1.4842002254794922,0.10122161524178142,1.2924266387501138,1.3217214447524064,1.4147312742518452,1.4818997751714882,1.5511616690324073,1.6545262315272158,1.6890463118839152,2020-03-25,2020-03-31
17,23,1.512368758535478,0.09742023573722262,1.3274400372700808,1.3557728718476036,1.4455696177532076,1.5102774773182108,1.5768883604144275,1.676098340805115,1.7091814344040035,2020-03-26,2020-04-01
18,24,1.4597023170373222,0.09141010486820472,1.2860236768254,1.3126700618812923,1.3970514026248082,1.457794653492117,1.5202738283220687,1.6132419107602027,1.6442215138749405,2020-03-27,2020-04-02
19,25,1.3803449637882328,0.08511571678343065,1.2185465680176655,1.2433887643769705,1.3220216976200059,1.3785958718844873,1.4367616686823923,1.5232675854160564,1.5520828263739899,2020-03-28,2020-04-03
20,26,1.3346652988346537,0.08077761857523671,1.181024219467087,1.2046348328793755,1.279329932048752,1.3330360250866167,1.3882247037854496,1.4702534647836512,1.497564977427054,2020-03-29,2020-04-04
21,27,1.3108395316906956,0.07764743255192377,1.163055447773079,1.1857886654788676,1.2576651303283162,1.3093067052307998,1.3623430958307214,1.4411190973765162,1.4673341552798067,2020-03-30,2020-04-05
22,28,1.0561283401521637,0.06775066460951604,0.9275026856619666,0.9472134355660866,1.0096760237133524,1.0546799582590929,1.1010018897026355,1.1699839067569398,1.1929846008264393,2020-03-31,2020-04-06
23,29,1.0310233620323799,0.06655227184503645,0.9046986340657822,0.9240507587343143,0.985388299173005,1.0295917392532554,1.0750979276913164,1.1428794606375092,1.165483455173842,2020-04-01,2020-04-07
24,30,1.0265398858575518,0.0665406976387679,0.9002545692547569,0.9195965747523442,0.9809097766227372,1.0251025134527512,1.0706032319840515,1.1383863060574546,1.1609932369339249,2020-04-02,2020-04-08
25,31,1.0870647846616002,0.06847864474358513,0.9569804118753781,0.9769326441003224,1.0401264715412268,1.0856272069041757,1.13243610218098,1.2021007288695775,1.2253183830419683,2020-04-03,2020-04-09
26,32,1.0267686411723211,0.06613998239917276,0.9012179044384583,0.9204534684472614,0.9814177552687352,1.025348840636477,1.0705719157218292,1.137926981198798,1.1603875635591485,2020-04-04,2020-04-10
27,33,1.114425345246995,0.06871841065149309,0.9837969604610833,1.0038533767777944,1.06733789410936,1.1130132110342899,1.1599735288378739,1.2298143212853272,1.2530783862077584,2020-04-05,2020-04-11
28,34,1.1614928110281384,0.06953675570887886,1.0291881363764737,1.0495302163986637,1.1138653980291358,1.1601054205998753,1.2076079201278855,1.2781880030079449,1.3016815535263624,2020-04-06,2020-04-12
29,35,1.266372896387339,0.07146555699522954,1.1301611166031846,1.1511596071563197,1.2174654643982281,1.2650288054916001,1.3138152086325912,1.386171072248821,1.410222726177655,2020-04-07,2020-04-13
30,36,1.3380256220256936,0.07162286946474986,1.2013131736028804,1.222436025907192,1.2890454951387222,1.3367478778125512,1.3856129395290904,1.4579737795109142,1.4819991223004028,2020-04-08,2020-04-14
31,37,1.2950037716459852,0.06815809324452554,1.1648458267287982,1.1849698317626498,1.248403378344621,1.2938082121097312,1.3403009383129723,1.409115927636569,1.4319557447964877,2020-04-09,2020-04-15
32,38,1.223360262757478,0.06429838789929058,1.1005684830965299,1.119554649169269,1.1793995788196463,1.2222339646017315,1.2660932186099625,1.331007832315809,1.3525524783473548,2020-04-10,2020-04-16
33,39,1.2327328699799005,0.06315481807853222,1.1120441434109167,1.1307241354788466,1.189568195023778,1.2316545314394507,1.2747220916899442,1.3384199610606051,1.3595495021536097,2020-04-11,2020-04-17
34,40,1.178504875784486,0.06045602451908431,1.0629774650906751,1.0808576747455252,1.1371840677563751,1.177471260945241,1.218698982249006,1.2796778750198476,1.2999060388991077,2020-04-12,2020-04-18
35,41,1.1506450747843104,0.05871861058891981,1.0384225792294022,1.0557948509351494,1.1105144223417414,1.1496464052207331,1.1896871173838113,1.2489018933450804,1.2685427402193223,2020-04-13,2020-04-19
36,42,1.143400192372194,0.057750430688312954,1.0329989327972187,1.0500961239975402,1.1039363448042747,1.1424280604149297,1.181804356351493,1.2400203312391411,1.2593258194839425,2020-04-14,2020-04-20
37,43,1.0377274578743638,0.054317137658017024,0.933985709675385,0.9500290085018462,1.0005929187699727,1.036779915582151,1.0738291222441951,1.1286581023091269,1.1468538242089312,2020-04-15,2020-04-21
38,44,0.9994390074392073,0.05311958392706909,0.8980258538765904,0.9136993312040627,0.9631159612828993,0.9984980737953975,1.0347363847261717,1.0883883371598861,1.1061992182683815,2020-04-16,2020-04-22
39,45,1.0097433744692668,0.053516291814394545,0.9075651273261683,0.9233586636475667,0.9731504088915242,1.008798079411592,1.0453059166126215,1.099352615890799,1.117293464628709,2020-04-17,2020-04-23
40,46,0.9861131049249852,0.052937325122073366,0.8850751572445902,0.9006842480351122,0.9499099301761477,0.9851659920303789,1.0212838764758567,1.0747726945261773,1.0925332209046401,2020-04-18,2020-04-24
41,47,0.9104367842834771,0.05097467372190494,0.8132583176239374,0.8282445388762064,0.8755560788460848,0.9094856166108111,0.944280672801459,0.9958735980678088,1.0130204440489,2020-04-19,2020-04-25
42,48,0.8320506619650466,0.0492001870510854,0.7384044571182113,0.7528109500892022,0.7983583133904424,0.8310811071389904,0.8646861598100051,0.9145976696235133,0.9312065231952058,2020-04-20,2020-04-26
43,49,0.7818039372537074,0.04857893295501531,0.689481438889404,0.7036512254659403,0.7485126913780491,0.7807979851197222,0.8139986674381183,0.863388107946978,0.8798428993373872,2020-04-21,2020-04-27
44,50,0.7571378176903993,0.048975174095943264,0.6641830689567596,0.6784216329783904,0.7235543212909454,0.7560820996973686,0.7895705610304512,0.8394552264162005,0.8560918070210755,2020-04-22,2020-04-28
45,51,0.7815997972186922,0.05109477715177276,0.6846560688696883,0.6994976946882147,0.746557021779677,0.7804866895943583,0.8154292663554349,0.8674988907945979,0.8848688822647329,2020-04-23,2020-04-29
46,52,0.7247980668321475,0.050376948071735254,0.629418117428022,0.6439731954849234,0.690213267447726,0.7236312549030198,0.7581110380842083,0.8096031348485035,0.82680850667792,2020-04-24,2020-04-30
47,53,0.7843666313667446,0.05387052141353475,0.6823291310901546,0.6979102284204456,0.7473907303621309,0.7831336958263186,0.8199986257009579,0.8750287875351798,0.893410384261489,2020-04-25,2020-05-01
48,54,0.7907864321720168,0.055366124584502095,0.6859876982157381,0.7019737028874761,0.7527718281868994,0.7894946734987132,0.8273930181063359,0.8840055746371269,0.9029256685707677,2020-04-26,2020-05-02
49,55,0.8029845530166456,0.05692206575455198,0.6952889645036664,0.7117055796057126,0.7638934646859928,0.801639921530534,0.8406099961589615,0.898850300886072,0.9183210852183202,2020-04-27,2020-05-03
50,56,0.7423512205494428,0.05579853463090407,0.6370130643372056,0.653016292095058,0.7039926932289324,0.740953664673929,0.7791864377489971,0.8364534733084256,0.8556310032948139,2020-04-28,2020-05-04
51,57,0.8066967801668975,0.05963274191099357,0.6940483042761323,0.7111789344138346,0.7657145268773059,0.8052278638948658,0.8460779347964605,0.9072253690599251,0.9276924084529597,2020-04-29,2020-05-05
52,58,0.7716141869339948,0.0595313269610956,0.6593441449164943,0.6763736796020555,0.730670312560411,0.7700837476069254,0.8108899226340006,0.872075317057215,0.8925809337276938,2020-04-30,2020-05-06
53,59,0.7956537910750956,0.06175471082231722,0.6792185008040217,0.6968733495549013,0.7531760914802612,0.7940566643064199,0.8363906673935768,0.8998823410981547,0.9211647285159852,2020-05-01,2020-05-07
54,60,0.7294260162371335,0.06036772663376182,0.6159081557516545,0.6330503161027493,0.6878521137096973,0.7277613376706032,0.7691855014041666,0.8314802814370494,0.8524032867284651,2020-05-02,2020-05-08
55,61,0.8473667744758608,0.0667818572865687,0.7215307538040467,0.7405929158816433,0.8014182184237031,0.8456130391205465,0.8914038167666423,0.9601229695762472,0.9831683444124569,2020-05-03,2020-05-09
56,62,0.9362301022244083,0.07138687604578528,0.8015390655733547,0.8219841060309394,0.8871428086605376,0.9344163292451062,0.9833404243927767,1.0566632223286603,1.0812279021561029,2020-05-04,2020-05-10
57,63,0.9172557060995371,0.0709793775554326,0.7834117223552427,0.8037099612089317,0.8684355437163506,0.9154255074772174,0.964081001733921,1.0370446115244085,1.0614997688368726,2020-05-05,2020-05-11
58,64,0.8331824901676744,0.06802906545107548,0.7051843374340009,0.7245302829488325,0.7863445784379287,0.831331706767565,0.8780031307351261,0.9481480987928544,0.9716976039526706,2020-05-06,2020-05-12
59,65,0.8821539821082551,0.07108599365892665,0.7483302796240954,0.7685739181304428,0.8332236323023569,0.8802452943945618,0.9290039391027108,1.0022449651227716,1.0268237071502844,2020-05-07,2020-05-13
60,66,0.9526285898138817,0.07484557064550819,0.8115804994015546,0.8329511826612273,0.9011348360881754,0.9506691673148215,1.0019866356279397,1.0789899714786315,1.1048110460214393,2020-05-08,2020-05-14
61,67,1.0203318697379047,0.07779957569991193,0.8735415059837545,0.8958231291738132,0.9668350531931271,1.0183551651106402,1.071674123087589,1.1515835249905864,1.178354855711845,2020-05-09,2020-05-15
62,68,0.9670676454447585,0.07551529609493232,0.8247221431663553,0.846297629082491,0.9151190061349543,0.9651027726198192,1.0168746323426747,1.0945402258325945,1.1205784955242821,2020-05-10,2020-05-16
