place,mobility,coefficient,p_val,period,wave,Significant (p<0.01)
durham,Retail,0.04154694025476374,0.7444504890403458,Lockdown,Wave 1,No
durham,Grocery,0.14461679627935453,0.2542289135504737,Lockdown,Wave 1,No
durham,Parks,0.12833920052009137,0.3121768095906363,Lockdown,Wave 1,No
durham,Transit,0.016279826950885628,0.8984021109301534,Lockdown,Wave 1,No
durham,Workplaces,0.12605990887602206,0.3209197488096834,Lockdown,Wave 1,No
durham,Residential,-0.1127614380014794,0.3750002770274735,Lockdown,Wave 1,No
durham,Global,0.13036486982536297,0.3045364970751338,Lockdown,Wave 1,No
peel,Retail,0.2511782187322631,0.0452800781455674,Lockdown,Wave 1,No
peel,Grocery,0.23582140240094351,0.060663426354669085,Lockdown,Wave 1,No
peel,Parks,0.13522285172126614,0.28671112225988227,Lockdown,Wave 1,No
peel,Transit,0.6957412018633395,1.7590038212397528e-10,Lockdown,Wave 1,Yes
peel,Workplaces,0.29540618659519186,0.017796547552530653,Lockdown,Wave 1,No
peel,Residential,-0.20919183748176207,0.09712352118010222,Lockdown,Wave 1,No
peel,Global,0.340163249569333,0.005955823716471486,Lockdown,Wave 1,Yes
toronto,Retail,0.2868765194718793,0.021543662223826383,Lockdown,Wave 1,No
toronto,Grocery,0.24597458752386342,0.05008601668669496,Lockdown,Wave 1,No
toronto,Parks,0.013453413176884166,0.9159705051143505,Lockdown,Wave 1,No
toronto,Transit,0.23185639640964148,0.0652557010126708,Lockdown,Wave 1,No
toronto,Workplaces,0.1417346226230082,0.26391725964632173,Lockdown,Wave 1,No
toronto,Residential,-0.12431312643538214,0.32772466801745903,Lockdown,Wave 1,No
toronto,Global,0.16432015718197898,0.19446190703260052,Lockdown,Wave 1,No
halton,Retail,0.08554709779181839,0.5015060400448011,Lockdown,Wave 1,No
halton,Grocery,0.06694068732253848,0.5991933726214462,Lockdown,Wave 1,No
halton,Parks,0.19566178248055552,0.12127069869184555,Lockdown,Wave 1,No
halton,Transit,0.008723768571596261,0.9454545526943741,Lockdown,Wave 1,No
halton,Workplaces,0.11559515907425703,0.3630392036009594,Lockdown,Wave 1,No
halton,Residential,-0.08952979466501497,0.4817213945251727,Lockdown,Wave 1,No
halton,Global,0.1687344397748725,0.18258105035288888,Lockdown,Wave 1,No
york,Retail,0.3585930097240953,0.0036184231770732492,Lockdown,Wave 1,Yes
york,Grocery,0.40031220823252145,0.00104694029962014,Lockdown,Wave 1,Yes
york,Parks,0.01856036658077251,0.8842616833432915,Lockdown,Wave 1,No
york,Transit,0.11708456572288299,0.3568469534106812,Lockdown,Wave 1,No
york,Workplaces,0.20040350821814965,0.11233525266090368,Lockdown,Wave 1,No
york,Residential,-0.156839304039818,0.21584164058080707,Lockdown,Wave 1,No
