place,mobility,coefficient,p_val,period,wave,Significant (p<0.01)
durham,Retail,-0.010184108349059365,4.1625221058007203e-4,Lockdown,Wave 1,Yes
durham,Grocery,-0.0028425979887496027,0.3397476877193647,Lockdown,Wave 1,No
durham,Parks,-0.0027790891637488064,0.0036829337326464225,Lockdown,Wave 1,Yes
durham,Transit,-0.008608877252616352,0.014513235249947007,Lockdown,Wave 1,No
durham,Workplaces,-0.0034547854314894177,0.23076020276117426,Lockdown,Wave 1,No
durham,Residential,0.009737416704522718,0.161269586013094,Lockdown,Wave 1,No
durham,Global,-0.008731063662265436,0.004749589839419968,Lockdown,Wave 1,Yes
peel,Retail,-0.008161973857619428,0.04426119519039095,Lockdown,Wave 1,No
peel,Grocery,-0.001005734749313727,0.7890941569101343,Lockdown,Wave 1,No
peel,Parks,-0.003261771603585094,0.0035423122520076944,Lockdown,Wave 1,Yes
peel,Transit,0.02234376612509044,0.001223924201278868,Lockdown,Wave 1,Yes
peel,Workplaces,-0.001464290644835335,0.6718979600330516,Lockdown,Wave 1,No
peel,Residential,0.0033680044751025085,0.6466719519432407,Lockdown,Wave 1,No
peel,Global,-0.007248674606423564,0.07011745334926894,Lockdown,Wave 1,No
toronto,Retail,-0.010376532850801454,0.0011342354763443493,Lockdown,Wave 1,Yes
toronto,Grocery,-0.003939132118803777,0.14438116145620022,Lockdown,Wave 1,No
toronto,Parks,-0.0026813974301003697,9.93805605753623e-7,Lockdown,Wave 1,Yes
toronto,Transit,-0.008574860881474656,0.012905983656899564,Lockdown,Wave 1,No
toronto,Workplaces,-0.003838882453704486,0.07557438620557856,Lockdown,Wave 1,No
toronto,Residential,0.0071832861253766445,0.1132963956032176,Lockdown,Wave 1,No
toronto,Global,-0.0090410543326968,3.0091497286486485e-5,Lockdown,Wave 1,Yes
halton,Retail,-0.0050241025282769846,0.13721774986460014,Lockdown,Wave 1,No
halton,Grocery,-0.0025704868856263755,0.42225906076120323,Lockdown,Wave 1,No
halton,Parks,-8.534762691209807e-4,0.21443727992160724,Lockdown,Wave 1,No
halton,Transit,-0.005917361873531742,0.1701427512863891,Lockdown,Wave 1,No
halton,Workplaces,-0.0011169962530834644,0.6977685435395604,Lockdown,Wave 1,No
halton,Residential,0.002097728684504138,0.7584591855738652,Lockdown,Wave 1,No
halton,Global,-0.0034942859214889045,0.1932834428653838,Lockdown,Wave 1,No
york,Retail,-0.00361038089404353,0.23102932545775243,Lockdown,Wave 1,No
york,Grocery,0.002313101130612394,0.3803244110325662,Lockdown,Wave 1,No
york,Parks,-0.001410439656275288,0.003909560989845347,Lockdown,Wave 1,Yes
york,Transit,-0.006119608175831389,0.05055001817655915,Lockdown,Wave 1,No
york,Workplaces,-0.0017678563854936088,0.47573032821817773,Lockdown,Wave 1,No
york,Residential,0.0028114075750889905,0.5941060953724662,Lockdown,Wave 1,No
york,Global,-0.004593931726000416,0.023647777698002144,Lockdown,Wave 1,No
durham,Retail,0.00720018623100857,0.004367783095841988,7 Days after lockdown,Wave 1,Yes
durham,Grocery,0.008839661750932476,1.8743702348007768e-4,7 Days after lockdown,Wave 1,Yes
durham,Parks,-0.0013662429572477012,0.2129136248391831,7 Days after lockdown,Wave 1,No
durham,Transit,0.010778788837754037,4.1124060348632024e-5,7 Days after lockdown,Wave 1,Yes
durham,Workplaces,0.009696709100643386,1.769582105473462e-5,7 Days after lockdown,Wave 1,Yes
durham,Residential,-0.021801939828744874,1.721243242459267e-4,7 Days after lockdown,Wave 1,Yes
durham,Global,0.0063125754436736715,0.038748875656416965,7 Days after lockdown,Wave 1,No
peel,Retail,0.01561916861984943,2.3351416748246346e-7,7 Days after lockdown,Wave 1,Yes
peel,Grocery,0.015326256188072648,1.3655302775471193e-8,7 Days after lockdown,Wave 1,Yes
peel,Parks,-0.001464188485673232,0.24910203893066468,7 Days after lockdown,Wave 1,No
peel,Transit,0.026779536887118205,1.1143865441294774e-21,7 Days after lockdown,Wave 1,Yes
peel,Workplaces,0.014299443724330486,4.636322248448442e-8,7 Days after lockdown,Wave 1,Yes
peel,Residential,-0.027717180338742174,5.0382814071915325e-6,7 Days after lockdown,Wave 1,Yes
