t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end,Region
2,8,2.0992155950089564,0.15149783610818518,1.812772567938946,1.8563926473189585,1.9951430289725545,2.0955722504665575,2.1993169412040867,2.3544666434433807,2.40636208324922,2020-03-17,2020-03-23,Toronto
3,9,1.9211982407733972,0.1313304080417235,1.672401066320604,1.7104019011721694,1.831062016331637,1.9182065502295655,2.008073502301091,2.1421997442734235,2.1869959401854064,2020-03-18,2020-03-24,Toronto
4,10,1.6680483645931456,0.11271626289337222,1.4544287429564808,1.4870766775900282,1.5907021977855564,1.665510166337017,1.742627871159506,1.8576782715875788,1.896091523882973,2020-03-19,2020-03-25,Toronto
5,11,1.9833708471240543,0.11567253681346558,1.7631125323047607,1.7970182196578561,1.904173811477028,1.9811225811624413,2.060117183950419,2.177392640544103,2.2164053222089577,2020-03-20,2020-03-26,Toronto
6,12,2.0237632309140876,0.10741019983039389,1.8186934871357652,1.8503889899998687,1.9503177457364536,2.0218633012786937,2.095137689021536,2.203618391673016,2.239629733479573,2020-03-21,2020-03-27,Toronto
7,13,1.8087313348029022,0.09242185382236796,1.6321014278683381,1.6594427041876243,1.745565494660126,1.8071573998908148,1.8701814915757888,1.963388866937417,1.9943054887265046,2020-03-22,2020-03-28,Toronto
8,14,1.5826020449642664,0.08013816966812137,1.429412229409852,1.4531334829039728,1.5278377473454336,1.581249599367291,1.6358920942059045,1.7166839778817689,1.7434774481155277,2020-03-23,2020-03-29,Toronto
9,15,1.5274099124975375,0.07461885716346257,1.384642379237267,1.4067799301716069,1.476439910575167,1.526194961262593,1.577055537746871,1.6521842504050783,1.67708170508596,2020-03-24,2020-03-30,Toronto
10,16,1.544532557294446,0.07162598225853552,1.407320241404597,1.4286366638845656,1.4956370747144936,1.543425506707615,1.5922212752634561,1.664204738612648,1.6880359793385187,2020-03-25,2020-03-31,Toronto
11,17,1.5662707019275282,0.0686855139765594,1.4345247593795014,1.4550312202407174,1.5194120583705113,1.5652667967453466,1.612035010886844,1.6809346256145041,1.7037216161653541,2020-03-26,2020-04-01,Toronto
12,18,1.4173069271784766,0.06203383895839345,1.298314570242413,1.3168370976200776,1.3749870817845853,1.41640198087132,1.4586403106604455,1.5208636379270903,1.5414418948274753,2020-03-27,2020-04-02,Toronto
13,19,1.3421920329200263,0.058028021803746346,1.230853714179644,1.248191838133513,1.302610286241328,1.3413558688928662,1.3808622947231306,1.4390444835403502,1.4582820906129883,2020-03-28,2020-04-03,Toronto
14,20,1.4429415497361886,0.0583751667370595,1.330781288387665,1.3482841779269217,1.4031507978036175,1.4421544239756572,1.4818742676660759,1.5402838987278984,1.5595748893589734,2020-03-29,2020-04-04,Toronto
15,21,1.4040550162931698,0.05537052470291033,1.2976135576573318,1.3142368066787746,1.366322042899171,1.4033272166330997,1.4409946246513918,1.4963558338371816,1.514632419102836,2020-03-30,2020-04-05,Toronto
16,22,1.378840563659261,0.05279853398158307,1.277285361795836,1.2931592012887663,1.3428707030764295,1.3781667021287158,1.414075854923301,1.4668205437660475,1.484225194087774,2020-03-31,2020-04-06,Toronto
17,23,1.4855657782420715,0.05292108963137038,1.3836393379421725,1.3996032186775913,1.449536793252719,1.484937413602138,1.5209097863998768,1.5736717583199873,1.5910631057315774,2020-04-01,2020-04-07,Toronto
18,24,1.466567866141601,0.05030286281175057,1.369620295716377,1.3848194684944246,1.4323329092762942,1.4659927816012719,1.5001759251477205,1.5502779391126835,1.5667835460250916,2020-04-02,2020-04-08,Toronto
19,25,1.4150371193763762,0.04724671423296636,1.3239383512976872,1.3382303142886283,1.3828895641401246,1.4145113135054928,1.4466114944423962,1.49363750436373,1.5091239567900228,2020-04-03,2020-04-09,Toronto
20,26,1.3363116776002166,0.044152980628178413,1.2511633636584236,1.2645252760383001,1.3062718235267623,1.3358254238911764,1.3658214669646687,1.4097567422206438,1.4242232931757492,2020-04-04,2020-04-10,Toronto
21,27,1.2620677206413733,0.04158654530972667,1.1818651569560124,1.194451802791695,1.2337746107293406,1.2616109756235998,1.2898629331711906,1.331241644220887,1.3448658930079267,2020-04-05,2020-04-11,Toronto
22,28,1.3124275146486413,0.04141984508588912,1.232491231290081,1.2450491478631363,1.2842578303416705,1.31199180746974,1.3401222338980154,1.3812921241705223,1.3948398548357672,2020-04-06,2020-04-12,Toronto
23,29,1.3992088822985755,0.04160554841577279,1.3188415198442403,1.3314843628701656,1.3709261201305118,1.398796522868441,1.4270421296381537,1.4683400020350987,1.4819196232344296,2020-04-07,2020-04-13,Toronto
24,30,1.3048251937068063,0.03871356517601199,1.2300417034673885,1.241806704442688,1.2785087960156667,1.304442342443358,1.3307242435133975,1.369149627869714,1.3817843719285658,2020-04-08,2020-04-14,Toronto
25,31,1.2979526296548303,0.03746866500632995,1.2255451690891912,1.236943179378452,1.2724877232386476,1.297592105067684,1.3230245261610192,1.3601918659491925,1.3724089001690551,2020-04-09,2020-04-15,Toronto
26,32,1.3548870711473147,0.037263819797922405,1.2828268350744694,1.2941817059595884,1.3295702673159633,1.3545454608798067,1.3798314830001959,1.4167577032208243,1.4288886316688245,2020-04-10,2020-04-16,Toronto
27,33,1.477333125275443,0.03765816256737292,1.4044378487101647,1.4159414762607898,1.451761682958174,1.4770131607471761,1.502555770922548,1.5398162047841366,1.5520467189651619,2020-04-11,2020-04-17,Toronto
28,34,1.3861743440977983,0.03488404125868529,1.318638128026419,1.329298608061489,1.3624886330637431,1.3858817280307765,1.4095410711806198,1.4440482222501776,1.4553734598636894,2020-04-12,2020-04-18,Toronto
29,35,1.303262061954793,0.032551049231480694,1.2402366837004049,1.2501865296654004,1.2811614958611799,1.3029910671799227,1.3250672136363244,1.3572619839657594,1.3678274690495944,2020-04-13,2020-04-19,Toronto
30,36,1.270161370415791,0.031240823522818022,1.209661489519776,1.219215327664099,1.2489524712827522,1.2699052470389647,1.2910910664884307,1.3219810750080871,1.3321167682358064,2020-04-14,2020-04-20,Toronto
31,37,1.2047221902396,0.02969422496287157,1.1472188800781116,1.156299163417566,1.1845629798639858,1.2044782293630842,1.2246154560534672,1.2539773914375119,1.263611899321055,2020-04-15,2020-04-21,Toronto
32,38,1.1616400608528803,0.028623634739180455,1.1062097599661123,1.1149627452495898,1.1422077046269312,1.1614049670954147,1.1808161386634701,1.2091193042214392,1.2184063699456225,2020-04-16,2020-04-22,Toronto
33,39,1.0676554939911607,0.027066141184475055,1.0152596855700566,1.0235291413293666,1.0492771331120976,1.0674267847316325,1.0857845364787047,1.112561996416037,1.1213510277371517,2020-04-17,2020-04-23,Toronto
34,40,0.9422115559875102,0.025299398504672027,0.8932721652483856,0.9009875134916888,0.9250261917183643,0.9419851269344901,0.9591500879988499,0.9842079705517919,0.9924377126567041,2020-04-18,2020-04-24,Toronto
35,41,0.9287839404786271,0.025325239156968,0.8798046386476122,0.8875238928128831,0.9115791792559451,0.9285537687293967,0.9457377896315696,0.9708291270143832,0.9790712771076991,2020-04-19,2020-04-25,Toronto
36,42,0.8969241789991841,0.025158396446927443,0.8482863840777735,0.8559473574818762,0.8798293200254698,0.8966889620181497,0.9137626263176046,0.9387033493573149,0.9468986793541283,2020-04-20,2020-04-26,Toronto
37,43,0.8228933780952554,0.024393405568897106,0.7757717147786216,0.7831850782240278,0.8063115349109743,0.8226523556835137,0.8392124816546542,0.863423830109187,0.8713847367088043,2020-04-21,2020-04-27,Toronto
38,44,0.8320704914022715,0.025008423200007898,0.7837706428060076,0.7913670281716438,0.8150687822282294,0.831819956643219,0.8487990916571657,0.8736285544760968,0.8817940921380072,2020-04-22,2020-04-28,Toronto
39,45,0.8162230105177115,0.02524937827456837,0.7674790388625067,0.775140249005821,0.799053626202176,0.8159626670700431,0.8331085937835437,0.8581938305659913,0.8664464746422645,2020-04-23,2020-04-29,Toronto
40,46,0.8463184611704653,0.02620545231956886,0.7957295307118963,0.8036805416035802,0.8284988185942601,0.8460480008445562,0.8638432742752271,0.8898789490048309,0.8984443767528602,2020-04-24,2020-04-30,Toronto
41,47,0.8756230880138469,0.027086884699788236,0.8233318067919195,0.8315505563213611,0.8572042133681419,0.875343798247871,0.8937375081804199,0.9206483061020238,0.9295015307688488,2020-04-25,2020-05-01,Toronto
42,48,0.9182566342607013,0.02807192441794662,0.8640539607200359,0.8725754402655218,0.8991697167912015,0.9179705888521115,0.9370317327433518,0.9649135587368775,0.9740848610902214,2020-04-26,2020-05-02,Toronto
43,49,0.9614615043518592,0.02893659085263139,0.9055761462453831,0.9143652793252255,0.9417890666012233,0.961171223591278,0.9808175059302218,1.0095479069353888,1.0189964852198845,2020-04-27,2020-05-03,Toronto
44,50,0.9612522650111321,0.029009230315947862,0.9052288985568818,0.9140391967164629,0.9415300284710838,0.9609604616204822,0.9806564055912018,1.0094607047361757,1.0189339070052845,2020-04-28,2020-05-04,Toronto
45,51,0.9613978950881464,0.029079911866803837,0.9052399461184666,0.9140709547153559,0.9416272555925519,0.9611047124856769,0.9808489351712801,1.0097249115465534,1.0192219573668464,2020-04-29,2020-05-05,Toronto
46,52,0.972652952058802,0.029339929302141955,0.9159905455362423,0.9249014311327354,0.9527059564731266,0.9723579564603354,0.9922783718406077,1.0214107333606746,1.0309917749840425,2020-04-30,2020-05-06,Toronto
47,53,0.9147613562643967,0.02851675617620452,0.8597162478964815,0.8683662757558387,0.8953689910103775,0.9144650463657177,0.9338307134631505,0.9621671806868679,0.9714903486904752,2020-05-01,2020-05-07,Toronto
48,54,0.8901332673435605,0.028347618207608616,0.8354329003811296,0.8440244363778785,0.8708526061882288,0.8898323614105216,0.9090859106250425,0.9372685200006179,0.9465436360111816,2020-05-02,2020-05-08,Toronto
49,55,0.8869575407924896,0.02862643153568665,0.8317309150682358,0.8404023305658057,0.867485113469085,0.8866495884419673,0.9060942691527126,0.9345632089292311,0.9439342113105218,2020-05-03,2020-05-09,Toronto
50,56,0.9183949608725844,0.029472696858262357,0.8615305284572297,0.8704603284348574,0.8983478211547614,0.9180797055032139,0.9380984405080918,0.9674049625211693,0.9770509402571413,2020-05-04,2020-05-10,Toronto
51,57,0.8856408069344107,0.029182856786008012,0.8293596248244569,0.8381921517896872,0.8657864581674187,0.8853202916249007,0.9051457622162961,0.9341827738160661,0.9437434261426284,2020-05-05,2020-05-11,Toronto
52,58,0.830877212048295,0.028566146984629472,0.7758245407813673,0.7844550226799043,0.8114353569788184,0.8305498602015778,0.8499622219401414,0.8784160338653854,0.887790169092573,2020-05-06,2020-05-12,Toronto
53,59,0.8554790141992911,0.029481753762478084,0.798664091325781,0.8075702926398095,0.8354135891535944,0.8551403686014327,0.8751752828351319,0.9045428924441244,0.9142184032116669,2020-05-07,2020-05-13,Toronto
54,60,0.8831592343401748,0.03041761978454991,0.8245401876157276,0.8337293409094763,0.8624569620346172,0.882810046073994,0.9034808576964717,0.9337802466270669,0.9437626594548387,2020-05-08,2020-05-14,Toronto
55,61,0.8892289121579098,0.030865586135549274,0.8297545222117012,0.8390758810439237,0.8682203174239197,0.8888718176212745,0.9098482395147546,0.9406000313872083,0.9507326100271569,2020-05-09,2020-05-15,Toronto
56,62,0.9642414197752099,0.03246769745828549,0.9016476158753046,0.9114655193147868,0.9421481944011431,0.9638770295227108,0.9859374240739789,1.0182602943692285,1.0289059937797844,2020-05-10,2020-05-16,Toronto
