t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end
2,8,5.304719493546504,0.5687256262829605,4.2488628535024695,4.405173551159101,4.910854313584647,5.284408799851985,5.676449461421425,6.2735511082417705,6.475983288874152,2020-03-25,2020-03-31
3,9,3.384006771022939,0.3256262033649351,2.7759663447432454,2.866795080152231,3.159056597700698,3.3735680559137493,3.5975799110844107,3.936827536823126,4.051362587796389,2020-03-26,2020-04-01
4,10,2.775537972696518,0.24157957215151976,2.3222696692812153,2.390482978563753,2.60900161813022,2.7685321936778577,2.934438505884103,3.184491227241122,3.268615717718138,2020-03-27,2020-04-02
5,11,2.294497055085409,0.1886064961155829,1.9397308614348394,1.9933275622213873,2.164625034215825,2.2893313432161992,2.418738692983739,2.6132878578323915,2.6786170501242488,2020-03-28,2020-04-03
6,12,2.0419836940309217,0.15848867176058595,1.7431615595671022,1.7884713584699214,1.9329679752527915,2.037884792152343,2.1465317249976237,2.309478177167853,2.3640977724802035,2020-03-29,2020-04-04
7,13,1.992204425432046,0.14266472211790704,1.7223853384848715,1.7634919180780184,1.8942128570972925,1.988799984623162,2.0864851702694387,2.2325300852812546,2.2813694125404442,2020-03-30,2020-04-05
8,14,1.2941492203578078,0.1053163699454878,1.095966428364043,1.1259267135340514,1.2216436570057883,1.291293502678429,1.3635421758547759,1.4721131630963527,1.5085594587690048,2020-03-31,2020-04-06
9,15,1.2057156595704104,0.09844627136102582,1.0204868783990524,1.0484827973384125,1.1379355462092116,1.2030373525316538,1.27057653799967,1.3720847759011277,1.4061637531736944,2020-04-01,2020-04-07
10,16,1.1011802398748374,0.09306671649531874,0.9263330420059085,0.9526994447000119,1.037061005944392,1.0985594948377246,1.1624430111192596,1.2586009554468902,1.2909195675739535,2020-04-02,2020-04-08
11,17,1.011266928065557,0.08869397689198814,0.8449108634234344,0.8699327314915853,0.9501149996662833,1.0086751212546885,1.0695939715929197,1.1614423557687306,1.1923505809891313,2020-04-03,2020-04-09
12,18,1.0338176667306465,0.08998227805502988,0.8649866925377367,0.8903944242770135,0.9717870884437672,1.0312081913100435,1.0930040947594615,1.1861424065015316,1.2174766506428067,2020-04-04,2020-04-10
13,19,1.013174008906062,0.08920499744069078,0.8458889953376555,0.8710437268275303,0.9516649109684192,1.010557194268064,1.0718309692536572,1.164230832150712,1.1953287030428918,2020-04-05,2020-04-11
14,20,0.865588963615068,0.08253066944708315,0.7114088574626901,0.7344566422210073,0.8085862948027263,0.8629673845115183,0.9197343926706076,1.0056641409317468,1.0346655699495029,2020-04-06,2020-04-12
15,21,0.9402531065846625,0.08730030929963124,0.7769493350694131,0.8014104684055112,0.8799906262698898,0.9375526144580587,0.9975723075815423,1.088307770099466,1.1189018746199608,2020-04-07,2020-04-13
16,22,1.093514133065559,0.09517818851923979,0.9149342322567304,0.9418091006596868,1.027901679127291,1.09075397685606,1.1561182049613812,1.2546346682579552,1.2877782678694512,2020-04-08,2020-04-14
17,23,1.4613939695432785,0.10922971371727,1.255142127068213,1.2864868341291928,1.386311845271885,1.4586734682823055,1.533510793197512,1.6455812402008523,1.6831051025490955,2020-04-09,2020-04-15
18,24,1.3496774852459659,0.10059902015703165,1.159702135836576,1.1885779972322479,1.2805313233594742,1.3471789070138998,1.4161002368825106,1.519300086448213,1.5538510497331917,2020-04-10,2020-04-16
19,25,1.3869303682077012,0.09807078683932208,1.2013652060301039,1.229655841857524,1.319583352580571,1.384619503748689,1.4517585454580706,1.5520876585757628,1.585627151216487,2020-04-11,2020-04-17
20,26,1.3928687868433136,0.09477271684487627,1.2132987031237283,1.2407327309244014,1.3278282180589145,1.390719888680738,1.4555670397070763,1.5523350972477679,1.5846501659375436,2020-04-12,2020-04-18
21,27,1.434351372063389,0.09258698294352105,1.2586094310396188,1.2855319505409557,1.3708642412795495,1.4323597100185381,1.4956675517485667,1.5899646728053427,1.6214111673963003,2020-04-13,2020-04-19
22,28,1.5087225567487372,0.09114526292375037,1.335352210090752,1.3619969792112847,1.446286686764167,1.506887525333442,1.5691581816583013,1.661707704472076,1.6925207540603204,2020-04-14,2020-04-20
23,29,1.4210804508358612,0.0843256106934926,1.2605944806459068,1.2852796032015223,1.3633312420980834,1.419412864512156,1.477011929674117,1.562569684285988,1.5910427544097188,2020-04-15,2020-04-21
24,30,1.22970005532465,0.07525642123151159,1.0866096612744476,1.1085873780429307,1.1781384150282843,1.2281651904601114,1.2795886458237768,1.3560483918081885,1.3815125464648002,2020-04-16,2020-04-22
25,31,1.3077828197848982,0.0758852559224293,1.1632639551740003,1.185515692322801,1.255830524769805,1.3063153432842258,1.3581355060734397,1.43505572458959,1.4606408771080523,2020-04-17,2020-04-23
26,32,1.162528431697251,0.06972382194873127,1.0298750873014577,1.0502690759622337,1.1147716411504138,1.1611348102364083,1.2087661267655156,1.279541640089599,1.3031012514838642,2020-04-18,2020-04-24
27,33,1.0922917806365322,0.06647476084801258,0.9658766588182905,0.9852983036815999,1.046750634976865,1.0909435686346178,1.136363332399691,1.2038842142897455,1.2263683210289715,2020-04-19,2020-04-25
28,34,1.0782158725730344,0.06561812836315185,0.9534298096418902,0.9726011758778363,1.0332615966406467,1.0768850344162093,1.1217194926517926,1.1883702611319513,1.2105646245764263,2020-04-20,2020-04-26
29,35,0.9919415461001727,0.06261079520986106,0.8730115384758063,0.8912511445925538,0.9490240151768984,0.9906245381118269,1.0334235060140686,1.0971244691930642,1.118355624171373,2020-04-21,2020-04-27
30,36,0.9402993075107777,0.061079003543458424,0.824387635148278,0.8421389101445876,0.8984131591515793,0.938977136155447,0.9807442646891213,1.0429698450269371,1.0637243694069782,2020-04-22,2020-04-28
31,37,0.8512241776763595,0.058600689086610286,0.7402363868130588,0.757182031836048,0.8109999940141157,0.8498798100651173,0.889982993859946,0.9498521910523875,0.969851440446976,2020-04-23,2020-04-29
32,38,0.7424913379397589,0.05565207865907844,0.6374182313528626,0.653383859625223,0.7042354094702744,0.7411013685716454,0.7792322243025744,0.8363402607834947,0.8554629638314469,2020-04-24,2020-04-30
33,39,0.7992164619879382,0.05940529177800054,0.6870211524954545,0.7040773848767403,0.7583865726231988,0.7977450913229268,0.8384425797309818,0.8993746561963913,0.9197728646145846,2020-04-25,2020-05-01
34,40,0.8900024350611564,0.06423039318274763,0.7685594578820971,0.7870530213627012,0.8458788884298893,0.888457769747974,0.9324423074012749,0.9982209787870483,1.0202230389401739,2020-04-26,2020-05-02
35,41,0.8594380506794,0.06388152721320735,0.7387887364175932,0.7571301693170677,0.815531597053803,0.8578558110781049,0.9016198872308484,0.9671432435578983,0.9890784730158578,2020-04-27,2020-05-03
36,42,0.8377466263854053,0.0638775814123685,0.7172239458064734,0.7355183412002559,0.7938229002802327,0.8361236469588422,0.879901341738726,0.9455112024577758,0.9674918860576553,2020-04-28,2020-05-04
37,43,0.8357042772214412,0.06486323141004526,0.7134080333141806,0.7319515666704054,0.7910883957462028,0.8340267565625581,0.8784917083401882,0.9451793353936184,0.9675330052863144,2020-04-29,2020-05-05
38,44,0.8593476063019941,0.06690012041738345,0.7332261944814832,0.7523461690123561,0.8133281093914116,0.8576121754112574,0.9034755339673549,0.9722689353422422,0.9953305716684779,2020-04-30,2020-05-06
39,45,0.9221056154092584,0.07030989402278925,0.7894466024741447,0.8095831977068938,0.87375887999352575,0.920319206015544,0.9685052051169384,1.0407218146379924,1.0649158980751707,2020-05-01,2020-05-07
40,46,0.9040103447401933,0.07016481043140642,0.7717182497629905,0.7917774339014249,0.8557477960221009,0.9021957123750367,0.9502949951967045,1.0224333177656848,1.0466140589401731,2020-05-02,2020-05-08
41,47,0.7639808084982224,0.06503436526084606,0.6418375037579578,0.6602473309032053,0.7191683685595719,0.7621362387511661,0.8067827775019185,0.8740065103753532,0.8966056883699972,2020-05-03,2020-05-09
42,48,0.7706815163634859,0.0668265626166745,0.645275528459696,0.6641531090248314,0.7246171695377538,0.7687508467154144,0.8146415620909455,0.8837958625770793,0.9070582951067861,2020-05-04,2020-05-10
43,49,0.6834126654105193,0.06457642698242956,0.5627198745897559,0.5807742938063676,0.6388194407883568,0.6813797788277627,0.7257902533833972,0.7929857110392439,0.8156568749502604,2020-05-05,2020-05-11
