t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end
2,8,3.8427975086858046,0.8192871816613686,2.4082607396795637,2.6015282435539047,3.2631578725348844,3.7847327492171745,4.359207957969106,5.2821772791298,5.607118549783377,2020-03-25,2020-03-31
3,9,5.364266999335657,0.7742652490178668,3.955187023757123,4.157336823535964,4.823743547411084,5.3270614855414795,5.8642517729133345,6.698122123527826,6.984726716654412,2020-03-26,2020-04-01
4,10,3.776258629654618,0.47958532555170186,2.8952358379342797,3.0235233417496175,3.442681204750587,3.7559756833144906,4.087733520292641,4.598186597440985,4.7725240885112035,2020-03-27,2020-04-02
5,11,2.6897065444322332,0.3214814212619356,2.096758204850859,2.183644729819671,2.466461213083689,2.6769093175096783,2.899005994365647,3.2394240466572453,3.3553672658042073,2020-03-28,2020-04-03
6,12,2.7398411945041383,0.2796338709496957,2.2192801640081288,2.2966717657369897,2.5464074918543678,2.730333751806725,2.922913131509602,3.215443089102601,3.3144250962250226,2020-03-29,2020-04-04
7,13,2.564314495446078,0.23408881561554923,2.1260715588536474,2.1917984546756224,2.4027834390635894,2.5571949279131467,2.7180858481397676,2.96111704981576,3.0430130724770392,2020-03-30,2020-04-05
8,14,1.966625435973459,0.17878413054304174,1.6318536397102594,1.6820774414644397,1.8432676635011287,1.961210396356349,2.084081280928478,2.2696453932417344,2.3321672314883406,2020-03-31,2020-04-06
9,15,1.7337530775958512,0.15324356975888412,1.4464286610302826,1.4896218532292496,1.6280793675225023,1.7292401918583598,1.8345080775778,1.993278771399358,2.0467213119160665,2020-04-01,2020-04-07
10,16,1.9269998721712072,0.15139940855087453,1.641684424891119,1.6849135535882185,1.8228370768194129,1.923036305524571,2.02684250653188,2.1826066940942437,2.2348381806099225,2020-04-02,2020-04-08
11,17,1.653012434097975,0.12947392629672685,1.4089856286427493,1.445966057676873,1.563939438626474,1.6496332722809763,1.7384022478640244,1.8715857920817836,1.9162412451783777,2020-04-03,2020-04-09
12,18,1.5282151335726386,0.1168655321268885,1.3077413580273536,1.3412016463443392,1.4478514146777315,1.5252371912599225,1.6053329655258342,1.7253869490745355,1.7656110562553622,2020-04-04,2020-04-10
13,19,1.244062997013574,0.10057653218842025,1.0547473059333468,1.0833792760706205,1.1748292649749168,1.2413536723908924,1.3103436771934753,1.413988773123141,1.4487742815786122,2020-04-05,2020-04-11
14,20,1.0722246034437322,0.09127381961216864,0.9008000662935404,0.926637717437007,1.009331661490103,1.0696358040346874,1.1322959085486508,1.2266424412369696,1.2583597231292907,2020-04-06,2020-04-12
15,21,1.121206662587312,0.09311114530977364,0.9461426242599752,0.9725727665622623,1.0570788286857382,1.1186302320394053,1.1825263176760705,1.2786293016056522,1.3109110637835544,2020-04-07,2020-04-13
