t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end
2,8,4.476135139687699,0.34431808766828453,3.826709628715425,3.925234733103631,4.23933620134893,4.467309573206086,4.703314434316259,5.057141244868808,5.175711858319981,2020-03-25,2020-03-31
3,9,2.821151926198785,0.20630306079023097,2.431278465008611,2.4906043132512234,2.6793981494746015,2.8161247315951288,2.9574261143481655,3.168848212681271,3.239592585218988,2020-03-26,2020-04-01
4,10,3.1415309740507906,0.18511648792157448,2.7891488294411846,2.843367780474024,3.0147693357278045,3.1378956919340806,3.264330017726534,3.452094654299809,3.514571219621053,2020-03-27,2020-04-02
5,11,2.5794223373889364,0.1411397107406951,2.310179327189683,2.351740894490059,2.482874080667071,2.5768485208337006,2.6731650052411795,2.815883428653865,2.863291580917982,2020-03-28,2020-04-03
6,12,2.1768950715572633,0.11241437811443045,1.9621156791544536,1.9953484634130982,2.100055015768031,2.174960359794239,2.2516261783670464,2.3650412409960104,2.402668900591264,2020-03-29,2020-04-04
7,13,1.9293786463550928,0.09516923025268254,1.7473356726234106,1.7755530753582167,1.8643636393999659,1.9278140881917678,1.9926881839874218,2.088541128606904,2.1203126015747458,2020-03-30,2020-04-05
8,14,1.451566181400937,0.07587457976921823,1.3066460634293404,1.3290586835839422,1.3996945638605591,1.450244386389061,1.5019969673026001,1.5785825008081156,1.6039976918727346,2020-03-31,2020-04-06
9,15,1.4860815587320575,0.07348200383786578,1.3455311861874577,1.3673150610119869,1.4358807141069245,1.484870583955475,1.5349623631057376,1.6089788490714667,1.6335135883163892,2020-04-01,2020-04-07
10,16,1.5144773976805241,0.07131395543409931,1.3779118655107048,1.3991162679722802,1.4657862544469777,1.5133581972064496,1.5619485339786519,1.6336562614034569,1.6574030755587512,2020-04-02,2020-04-08
11,17,1.2666972058292711,0.06225477129447003,1.1476033998570006,1.166065950948496,1.2241696517604574,1.265677466913802,1.308113178236797,1.3708069223771993,1.3915859269775248,2020-04-03,2020-04-09
12,18,1.1901947790434029,0.05877953045194939,1.0777626785706798,1.0951893115724392,1.1500388529802519,1.1892272809935707,1.2292960699698863,1.28850050821848,1.3081249215869655,2020-04-04,2020-04-10
13,19,1.220945849075672,0.058674913028313645,1.1086387019000417,1.1260636505837276,1.18087462654934,1.2200060656940916,1.2599926441002811,1.3190337687779625,1.3385935517670118,2020-04-05,2020-04-11
14,20,1.2482525270693203,0.05826343844976012,1.1366554874491597,1.1539884972783667,1.2084759906128844,1.2473461427243335,1.287041040179965,1.3456083475898755,1.3650003323085822,2020-04-06,2020-04-12
15,21,1.1987101562700164,0.05582949792829953,1.0917696070329508,1.1083806631582231,1.1605962375095213,1.1978435214573013,1.2358793812885644,1.291995849324255,1.31057558462326,2020-04-07,2020-04-13
16,22,1.0817844734086892,0.05204737974397203,0.9821655916846533,0.9976212444875653,1.046238942079253,1.0809498777643645,1.1164202391053304,1.1687946148053203,1.186146154545137,2020-04-08,2020-04-14
17,23,1.100775749861571,0.052123242439711406,1.0009734574753182,1.0164665575689462,1.0651851480279513,1.099953156907969,1.1354696682661862,1.1878909108586766,1.2052526376559827,2020-04-09,2020-04-15
18,24,1.0760045538505965,0.051180317375607604,0.9780182511665119,0.9932269617390955,1.0410559372708534,1.075193196253339,1.1100687347439255,1.16154978973511,1.1786016029645294,2020-04-10,2020-04-16
19,25,1.0836816631327522,0.05102857655568796,0.9859624345361045,1.0011352077716043,1.048840800429897,1.0828808211835879,1.1176495519986702,1.1689598914162118,1.1859518829093343,2020-04-11,2020-04-17
20,26,1.0762532685154376,0.05051106866071093,0.9795174834834822,0.9945393420198448,1.0417670840876696,1.0754631711032392,1.1098781911061602,1.1606623167573162,1.177478986954387,2020-04-12,2020-04-18
21,27,1.1436533566775184,0.05171779250741461,1.044521362559581,1.0599353787745407,1.1083583541077568,1.142873864748387,1.1780986549680759,1.2300302775135512,1.247215024636898,2020-04-13,2020-04-19
22,28,1.420397437901919,0.05690702170857746,1.3110366220719758,1.3281076994455316,1.3816112562630027,1.4196375330053674,1.4583552579773305,1.5152792995952633,1.5340766430031598,2020-04-14,2020-04-20
23,29,1.4648010553450492,0.05560308768275252,1.357833694337342,1.3745576837381448,1.426923731831466,1.464097560670153,1.5019115063036728,1.5574441263724512,1.5757662457963972,2020-04-15,2020-04-21
24,30,1.3133813344533012,0.050218390449250305,1.2167862020223255,1.2318853828712026,1.2791697232141184,1.3127413405511783,1.3468952950461457,1.3970603774200892,1.4136134322727805,2020-04-16,2020-04-22
25,31,1.248365281137161,0.04738729804561932,1.1572031815403452,1.171456071141896,1.2160846274304917,1.2477657332842969,1.2799923736867196,1.3273196162576322,1.3429344997138126,2020-04-17,2020-04-23
26,32,1.212685552362122,0.04564002283090378,1.1248706093895595,1.1386035324598067,1.1815977067609464,1.2121130388064167,1.2431493062638237,1.2887204801147198,1.3037539844383017,2020-04-18,2020-04-24
27,33,1.1761496950147907,0.04407807337082017,1.0913333411520532,1.1045989173860675,1.14612698388543,1.175599108987308,1.2055722172699115,1.249578583123184,1.264094928348992,2020-04-19,2020-04-25
28,34,1.0908709328942963,0.04177160691232314,1.010525445013509,1.023084047184533,1.0624133458430876,1.090337806747705,1.1187473647784862,1.1604763720615392,1.1742460765752893,2020-04-20,2020-04-26
29,35,0.8702415171787586,0.03700643358907988,0.7992120592515534,0.8102790483289881,0.8450033893047977,0.8697170155507477,0.894907896002414,0.9319931234554242,0.9442516064832421,2020-04-21,2020-04-27
30,36,0.7666515854958046,0.03521347356560184,0.6991789157659453,0.7096645655930757,0.7426157572743541,0.7661125168142042,0.7900997895893977,0.8254774356534094,0.8371876563872661,2020-04-22,2020-04-28
31,37,0.771718328615155,0.03633879685416615,0.7021298855033985,0.7129348179850532,0.7469072302573305,0.7711480279156788,0.7959077592514657,0.832447206879944,0.8445476527221369,2020-04-23,2020-04-29
32,38,0.7409654320039849,0.036593674364229244,0.6709699141570286,0.6818190061526276,0.7159660338997375,0.7403631082305323,0.7653082584332366,0.8021664625993488,0.8143838006228711,2020-04-24,2020-04-30
33,39,0.7299089636212638,0.03734539141071557,0.6585395817538202,0.6695865789372766,0.7043847837908528,0.7292721437038385,0.754738971693354,0.7924036258989111,0.8048972207624884,2020-04-25,2020-05-01
34,40,0.7491170728618101,0.0389447421720323,0.6747221424615382,0.6862301905727278,0.7224943820603208,0.7484423008115942,0.7750042232889979,0.8143056935405976,0.8273465461134131,2020-04-26,2020-05-02
35,41,0.7917780918980859,0.04110707033216051,0.7132497536174209,0.7253978459529172,0.7636777165089907,0.7910668147211586,0.8191031340900172,0.8605846000475718,0.8743484219371601,2020-04-27,2020-05-03
36,42,0.8258705151525709,0.04287706075606364,0.743960899499457,0.7566320650417953,0.7965601923032242,0.8251286117650738,0.8543721204666527,0.8976396975948905,0.9119961628605217,2020-04-28,2020-05-04
37,43,0.8745237764556345,0.04486212315136187,0.788795266069252,0.8020634915916702,0.8438611718067672,0.8737567700807005,0.904350298601513,0.949600422454027,0.96461097576606,2020-04-29,2020-05-05
38,44,0.8809460282328306,0.04555263467492013,0.7939159999936755,0.807381431491148,0.8498083151089068,0.8801609958723144,0.9112280103129261,0.9571884757387215,0.9724371797910196,2020-04-30,2020-05-06
