Date,Durham,Halton,Peel,Toronto,York
2020-03-24,0,0,0,0,0
2020-03-25,3,1,3,17,5
2020-03-26,1,4,13,21,5
2020-03-27,5,1,15,22,34
2020-03-28,0,0,0,0,0
2020-03-29,0,0,0,0,0
2020-03-30,56,8,95,197,94
2020-03-31,21,7,42,4,16
2020-04-01,24,27,21,32,25
2020-04-02,25,18,114,282,109
2020-04-03,21,9,61,100,46
2020-04-04,18,26,41,62,36
2020-04-05,29,24,36,96,22
2020-04-06,12,9,50,98,29
2020-04-07,20,14,85,64,10
2020-04-08,14,61,63,173,51
2020-04-09,15,19,77,156,40
2020-04-10,23,17,57,149,49
2020-04-11,15,8,64,123,50
2020-04-12,10,9,62,126,20
2020-04-13,18,16,52,170,16
2020-04-14,36,39,56,148,63
2020-04-15,61,8,77,135,40
2020-04-16,16,9,73,131,51
2020-04-17,43,8,66,242,33
2020-04-18,31,11,67,205,55
2020-04-19,34,10,97,224,63
2020-04-20,52,8,186,156,49
2020-04-21,46,1,127,131,63
2020-04-22,44,8,67,212,52
2020-04-23,46,11,83,237,49
2020-04-24,24,9,78,168,39
2020-04-25,23,0,73,186,44
2020-04-26,34,8,67,120,56
2020-04-27,33,5,57,135,34
2020-04-28,32,7,48,189,22
2020-04-29,18,3,44,49,57
2020-04-30,13,16,42,233,32
2020-05-01,27,6,50,140,33
2020-05-02,34,7,61,190,49
2020-05-03,23,9,68,157,42
2020-05-04,24,3,57,167,24
2020-05-05,26,4,57,182,19
2020-05-06,17,16,38,191,37
2020-05-07,20,6,46,175,48
2020-05-08,21,5,76,261,36
2020-05-09,6,3,70,130,32
2020-05-10,18,3,41,145,28
2020-05-11,3,2,58,129,14
2020-05-12,6,1,74,193,22
2020-05-13,13,7,48,209,0
2020-05-14,19,1,74,45,23
2020-05-15,11,18,55,220,19
2020-05-16,9,14,86,164,28
2020-05-17,18,6,69,105,31
2020-05-18,19,8,80,76,26
2020-05-19,22,14,72,209,22
2020-05-20,18,2,63,203,23
2020-05-21,14,3,38,240,35
2020-05-22,16,13,67,246,30
2020-05-23,9,6,88,199,50
2020-05-24,21,3,101,205,45
2020-05-25,13,5,91,192,25
2020-05-26,24,3,52,153,26
2020-05-27,12,3,77,128,33
2020-05-28,11,2,96,185,34
2020-05-29,18,7,71,168,20
2020-05-30,10,8,125,110,21
2020-05-31,13,3,103,120,23
2020-06-01,13,2,121,152,30
2020-06-02,14,3,56,165,34
2020-06-03,12,6,53,110,45
2020-06-04,14,7,46,181,55
2020-06-05,21,4,70,180,14
2020-06-06,34,2,119,195,38
