t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end
2,8,3.4262500778554883,0.21167443671904135,3.0238974203885376,3.085668188451674,3.281201696877121,3.4218919683808022,3.566547993817019,3.781698151874409,3.8533683159291883,2020-03-25,2020-03-31
3,9,2.31121068283191,0.1388671913184678,2.0470228614943955,2.0876354211995247,2.2160921728932412,2.308430038321395,2.403298195240302,2.5442711422439457,2.591199955830108,2020-03-26,2020-04-01
4,10,3.550157633341426,0.15305816386944615,3.256467291319799,3.302206311787631,3.4457576221297246,3.5479582737828226,3.652160168218032,3.8056112338603687,3.8563464607375995,2020-03-27,2020-04-02
5,11,2.7495690999839626,0.11078329609708369,2.5366959506742437,2.569919468049329,2.674058087234314,2.7480813811341873,2.823458372188209,2.9342935129643393,2.970896659399006,2020-03-28,2020-04-03
6,12,2.1959827566996184,0.0843362096911924,2.033775627189254,2.0591276627474073,2.138525703105084,2.1949032135738697,2.2522630120047613,2.3365202942620575,2.3643247264450262,2020-03-29,2020-04-04
7,13,2.0168786660105553,0.07249520659025654,1.877274623212947,1.8991343627393282,1.9675194894796277,2.0160101370802384,2.06529106445369,2.137585616810308,2.1614184065435635,2020-03-30,2020-04-05
8,14,1.466516718600893,0.05644625481702081,1.3579560495937784,1.3749223636968353,1.428059863834808,1.4657925764274302,1.5041841939353302,1.560581204384093,1.5791925508350888,2020-03-31,2020-04-06
9,15,1.4548867233513096,0.053664305239599044,1.3515938165620822,1.3677563772597414,1.4183400541557816,1.4542269640020729,1.4907141940702542,1.5442675818122429,1.5619289236730935,2020-04-01,2020-04-07
10,16,1.6117917901667231,0.054457397940653796,1.506810505433313,1.5232755093604289,1.5747341930307985,1.6111785166846282,1.648180859246099,1.702400012512498,1.7202582072801373,2020-04-02,2020-04-08
11,17,1.2389461896217686,0.04523991837272771,1.1518524275327098,1.1654840577803351,1.2081396235430442,1.2383955903995818,1.269152551433904,1.3142864762578983,1.3291689089828034,2020-04-03,2020-04-09
12,18,1.2527376785873008,0.04431867321101067,1.1673691014910677,1.1807421341155908,1.2225671544272427,1.2522150900497095,1.2823385316270342,1.3265158295566002,1.3410760362985334,2020-04-04,2020-04-10
13,19,1.2988789069726305,0.044291403110646485,1.2135085947694495,1.2268947237459031,1.2687367442382298,1.2983755002407409,1.3284723074253861,1.3725802646745457,1.3871099961072104,2020-04-05,2020-04-11
14,20,1.2745341709278488,0.042722482475091944,1.1921641677767576,1.2050854566784601,1.2454640172967657,1.2740568491026627,1.3030839968800176,1.345611080900529,1.3596167161586534,2020-04-06,2020-04-12
15,21,1.3083108746067569,0.042181635565930124,1.2269319493817006,1.2397099921806196,1.2796180984841377,1.3078575723711405,1.3365095057812073,1.3784580186960733,1.3922658452422032,2020-04-07,2020-04-13
16,22,1.3444840904733764,0.04157093812155251,1.2642307284387733,1.2768444863940678,1.3162162771837642,1.3440556622087032,1.3722848730197426,1.4135851078483692,1.4271721456191435,2020-04-08,2020-04-14
17,23,1.2142045030976736,0.038243847094895235,1.1403952918293265,1.1519911940345235,1.1881952355674477,1.213803004058177,1.239776095874179,1.277787367329454,1.290295371718142,2020-04-09,2020-04-15
18,24,1.1338487848338237,0.03616415983583582,1.0640670799250447,1.0750269747748886,1.109251389743307,1.1334643221663414,1.1580270767970944,1.1939820373883625,1.205815331312842,2020-04-10,2020-04-16
19,25,1.2131786184544457,0.03698440292522195,1.1417642638640195,1.1529923949053884,1.1880323975358138,1.2128028093523409,1.237915168655177,1.2746467656947467,1.2867286401237132,2020-04-11,2020-04-17
20,26,1.259676765422988,0.0370173085751883,1.1881599224414832,1.1994133864214171,1.2345152637406331,1.2593141827279237,1.2844430139222698,1.3211769510518803,1.3332541134999234,2020-04-12,2020-04-18
21,27,1.3001858241416075,0.03668686545039615,1.2292663286802759,1.2404355207994684,1.2752564242183877,1.2998407804944947,1.3247390896859013,1.3611131062145219,1.373066154492756,2020-04-13,2020-04-19
22,28,1.213782027727379,0.03444132926735092,1.1472086108387929,1.157692096977337,1.1903775566922266,1.2134562832030091,1.2368314025611622,1.2709831060030001,1.2822066050746277,2020-04-14,2020-04-20
23,29,1.1463235568010413,0.032752101622886894,1.083021483466655,1.0929883672222342,1.1240658713571647,1.1460116471175095,1.168241227582253,1.2007227019254667,1.2113981688829216,2020-04-15,2020-04-21
24,30,1.1862542173037578,0.032875493233623626,1.1226866808039433,1.132701750100593,1.1639176049742859,1.1859505306138036,1.2082597785289906,1.2408425903284237,1.251547563491914,2020-04-16,2020-04-22
25,31,1.241989502066373,0.03309913144333733,1.1779558744307863,1.1880523524616204,1.219507103481941,1.2416954828390465,1.2641513876813832,1.2969295805050132,1.3076940017517906,2020-04-17,2020-04-23
26,32,1.1243325267760698,0.030783419459478295,1.0648003448781795,1.074181975748612,1.1034191336198103,1.124051596599222,1.1449396757379118,1.17544135878005,1.1854611966003767,2020-04-18,2020-04-24
27,33,1.0791548439300793,0.029759175051653326,1.0216090622356944,1.0306763293987875,1.0589362678411947,1.0788813062369709,1.0990752345054526,1.1285664229877352,1.1382551028598613,2020-04-19,2020-04-25
28,34,0.9818063031110252,0.028213290740799576,0.9272811242924591,0.9358650374963641,0.962632293142984,0.9815360696277424,1.0006857299640373,1.0286693625731123,1.0378671805247424,2020-04-20,2020-04-26
29,35,0.9699880173241022,0.02811854786872299,0.9156527316496599,0.9242051421618546,0.9508771563037169,0.9697163255315715,0.9888027056198582,1.0166976608447658,1.0258672886739417,2020-04-21,2020-04-27
30,36,1.0284956296409866,0.02911354952901438,0.972218650058758,0.9810811802503776,1.0087119778990785,1.0282209376594418,1.0479798378594833,1.0768470811502011,1.0863336453156174,2020-04-22,2020-04-28
31,37,0.8923174687333486,0.027089720617603404,0.8400057833339901,0.8482312722698113,0.8738993807230261,0.8920433462397132,0.910436734872205,0.9373387253188116,0.9461869515331289,2020-04-23,2020-04-29
32,38,0.9063287028498275,0.02756594511146831,0.85309888374361,0.8614683896195137,0.8875865640927613,0.9060492458649053,0.9247662046126958,0.9521422727193678,0.9611466344093079,2020-04-24,2020-04-30
33,39,0.904618892750224,0.027877348739866598,0.8507984763783047,0.8592583073335347,0.8856630799180549,0.9043325464487921,0.9232625587025483,0.9509562351010056,0.9600665720294613,2020-04-25,2020-05-01
34,40,0.9267288466145205,0.02850461555594004,0.8716958267341864,0.8803466391829454,0.9073467996296888,0.9264366117129491,0.9457923275134865,0.9741078975874385,0.9834225935054384,2020-04-26,2020-05-02
35,41,0.9746104860983966,0.02946608374137777,0.9177063875640163,0.9266548227464316,0.9545773698586072,0.9743135459167228,0.9943199067686881,1.0235790430216725,1.0332020517257612,2020-04-27,2020-05-03
36,42,1.00859482701014,0.030057132174533614,0.9505368614625117,0.9596696939834747,0.9881621411977689,1.008296265219331,1.0287020493313508,1.0585383849467498,1.0683494755729042,2020-04-28,2020-05-04
37,43,0.9994821654658462,0.029878583599207212,0.9417717437819407,0.9508492759162727,0.9791703713210784,0.9991844504767838,1.0194694192642553,1.0491305914269795,1.0588844577954535,2020-04-29,2020-05-05
38,44,1.124445281751054,0.03166509411467465,1.0632316919902813,1.0728726916005764,1.1029285776595996,1.1241480593285254,1.1456379816750064,1.1770317275885473,1.1873479451240396,2020-04-30,2020-05-06
39,45,1.048446836097892,0.030228291374766875,0.9900302138244025,0.9992261048699077,1.027902909875655,1.048156341452731,1.0686740924340203,1.0986584740817598,1.1085142981639504,2020-05-01,2020-05-07
40,46,1.136851460716625,0.031243503780780422,1.07643260374593,1.0859532347432679,1.1156249351288419,1.1365652571507203,1.1577659935888325,1.1887259557535461,1.1988967734489342,2020-05-02,2020-05-08
41,47,1.0593069050809512,0.029795334556849254,1.0017069004573338,1.0107789943919656,1.0390608928115836,1.0590275650946734,1.079248406933653,1.1087876726524113,1.1184943599610988,2020-05-03,2020-05-09
42,48,1.033082652468851,0.029196641985346678,0.9766437896769494,0.9855321126139654,1.013242767412096,1.0328076168616425,1.0526227193954893,1.0815713665717546,1.0910845041803237,2020-05-04,2020-05-10
43,49,0.9967611612743041,0.028607622350134653,0.9414729222481931,0.9501771944407698,0.9773193374090791,0.9964874895303417,1.015904653941865,1.0442786502016321,1.0536046380839694,2020-05-05,2020-05-11
44,50,1.00730720951246,0.028780205986070284,0.9516818719116545,0.9604400569841002,0.9877487463877518,1.0070331255759706,1.0265668920537885,1.055109290129267,1.0644901274743226,2020-05-06,2020-05-12
45,51,1.0228176866753453,0.02901099772290576,0.9667405200758424,0.9755712098694669,1.0031034341293477,1.0225434123631572,1.042232951024782,1.0709997409030791,1.0804535157472004,2020-05-07,2020-05-13
46,52,0.9124336857020079,0.027349773135611335,0.8596097628763645,0.8679181770909088,0.8938406214843454,0.9121604347019412,0.9307288779032334,0.9578812815683524,0.9668104538150387,2020-05-08,2020-05-14
47,53,0.892913794828751,0.02727169554307711,0.8402554981691739,0.8485343545788744,0.8743711117386785,0.8926361628578264,0.9111538304339989,0.9382402664447822,0.9471498325036665,2020-05-09,2020-05-15
48,54,0.9448526998573336,0.028411001619881863,0.8899816739685156,0.8986114574487246,0.9255377168572834,0.9445679493877355,0.9638572752645497,0.9920652554227298,1.0013419207129912,2020-05-10,2020-05-16
49,55,0.9232825691152966,0.028278478189881318,0.8686826227678928,0.8772661925497593,0.9040549275497136,0.9229938789258089,0.9421955086362357,0.9702836978010061,0.979523098573188,2020-05-11,2020-05-17
50,56,0.889838216964152,0.027958014855129217,0.8358781976945422,0.8443561569732588,0.8708246221051568,0.8895454278414943,0.9085326418890644,0.9363190112149513,0.9454621119345619,2020-05-12,2020-05-18
51,57,0.924256078568422,0.028812744500427524,0.8686396320973292,0.8773794425124144,0.90466243117492,0.9239566931351408,0.9435233652598009,0.9721539495070718,0.98157388689275,2020-05-13,2020-05-19
52,58,0.9345231589066703,0.029218118860206106,0.8781267838204676,0.8869885514463942,0.9146533790890097,0.9342186724271918,0.954061017405501,0.9830964014799727,0.9926498841905501,2020-05-14,2020-05-20
