t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),date_start,date_end
2,8,3.4359424851410725,0.27598154170625966,2.9163205175156306,2.9949405164821705,3.245988782938009,3.4285561931683017,3.6178454182915307,3.90214058107669,3.997536710155095,2020-03-25,2020-03-31
3,9,2.5110819273932408,0.18981995147403616,2.1528131092790312,2.207223748438814,2.380577551867087,2.506300537223465,2.6363746838150948,2.8312503273559297,2.8965210251177345,2020-03-26,2020-04-01
4,10,3.0666618151773744,0.18359624050963672,2.71734093271356,2.7710496422751048,2.940912290588896,3.062998721261769,3.1884184397868287,3.3747693521861386,3.4367988142660604,2020-03-27,2020-04-02
5,11,2.2921384288458886,0.13436753434217735,2.0363209034268213,2.075691303424264,2.2001348307115642,2.289513376071722,2.381280618004415,2.5175399971000174,2.562873264145631,2020-03-28,2020-04-03
6,12,2.014607426634553,0.11140804526056504,1.8021442315576561,1.8349263040593196,1.9383865534733211,2.012554172883489,2.088590153829741,2.201292487349409,2.23873864210726,2020-03-29,2020-04-04
7,13,1.7948112602431152,0.09607404409165143,1.6114268483114582,1.6397607849268385,1.7291099150537892,1.7930973097299805,1.8586443079022135,1.955708256650374,1.9879355586242273,2020-03-30,2020-04-05
8,14,1.2629492437238687,0.07494224988406431,1.1203214040681497,1.142259681274418,1.211626097692179,1.2614672186315323,1.3126569283645126,1.3886942149363024,1.4139989345657304,2020-03-31,2020-04-06
9,15,1.1729818206673668,0.07035077455603145,1.0391356650083414,1.0597130352452668,1.1247956037994704,1.1715756678422922,1.2196352824372891,1.2910472051171902,1.3148186631856305,2020-04-01,2020-04-07
10,16,1.2596639703397616,0.07224668354645049,1.1220276363964163,1.1432306663227305,1.2102108277429717,1.2582830294112128,1.307611828722866,1.3808078642896697,1.4051477511327843,2020-04-02,2020-04-08
11,17,0.935959865584481,0.06105528955720833,0.8201095085348152,0.8378475766192759,0.8940871920048916,0.9346325982362045,0.9763857944861724,1.0385996787985954,1.059352567294156,2020-04-03,2020-04-09
12,18,0.9586947296291132,0.06214294934954266,0.8407557492498902,0.8588194202152943,0.9160803647724826,0.9573523547560261,0.9998458804838208,1.0631490962355845,1.0842619100511495,2020-04-04,2020-04-10
13,19,1.0388431672533038,0.06544096837502192,0.9145292682638647,0.9335964300474073,0.9939870128129084,1.0374693596828923,1.0822018371866327,1.1487761779764787,1.1709639093214386,2020-04-05,2020-04-11
14,20,1.0293242869990973,0.06510018395691981,0.9056736010617404,0.9246353295226332,0.9846990034324601,1.0279521804089746,1.0724539412929301,1.1386937164526798,1.160772146831314,2020-04-06,2020-04-12
15,21,0.9713642315282536,0.06309688719921015,0.8516231537137686,0.8699608824111168,0.9280942790911728,0.9699983792381786,1.0131453797593815,1.0774267235224144,1.0988669207703763,2020-04-07,2020-04-13
16,22,1.1972731141041537,0.07030629808832939,1.0634263395209091,1.0840237924476852,1.1491320815684583,1.195897219675986,1.2439143689584768,1.3152158152154407,1.3389386421492588,2020-04-08,2020-04-14
17,23,1.116127383504007,0.06682079860486374,0.988990246758755,1.008537808598676,1.070360195494822,1.1147941815815388,1.160441334973015,1.2282647106189517,1.2508406532510283,2020-04-09,2020-04-15
18,24,1.1269991610510328,0.06617966947452743,1.0010085237539015,1.0203970090500354,1.081683766726443,1.1257040247550842,1.1709028071548049,1.2380192145698745,1.2603496300258135,2020-04-10,2020-04-16
19,25,1.0410346388149114,0.0628912025230089,0.9214072524495537,0.9397924270289512,0.9979532233036654,1.0397684475870472,1.0827358639128268,1.1465960207216153,1.1678573532346055,2020-04-11,2020-04-17
20,26,1.050715294671528,0.06290467928121053,0.931029194255641,0.9494311459524643,1.0076303519077476,1.0494602267719975,1.0924321697020842,1.1562806687002118,1.1775335190161673,2020-04-12,2020-04-18
21,27,1.2052829720957594,0.06716779403370336,1.077216872717759,1.0969703603961347,1.159324663170286,1.204035497037453,1.249881474356826,1.317850898213961,1.3404380908696087,2020-04-13,2020-04-19
22,28,1.2814554945388703,0.06801259586083439,1.151604459638056,1.171674187003857,1.2349495006102023,1.28025245100427,1.326650105308734,1.395340548113838,1.4181430830738622,2020-04-14,2020-04-20
23,29,1.2109723709528677,0.06427174007622591,1.0882634541979341,1.1072292984555898,1.167024318155619,1.2098354976961196,1.2536811698081634,1.3185934736220637,1.3401418145062804,2020-04-15,2020-04-21
24,30,1.1975412309553186,0.06251114341723119,1.0781409216814402,1.0966077854450988,1.1548062715523344,1.1964537217161504,1.2390907433102403,1.3021843174489058,1.323121552591121,2020-04-16,2020-04-22
25,31,1.1477238822508369,0.060074613649820155,1.03298577727835,1.0507296242523265,1.1066531781241593,1.1466759029283633,1.1876522295946883,1.2482929396216518,1.2684173609431975,2020-04-17,2020-04-23
26,32,1.1339056421452618,0.0588694477135123,1.021445185413909,1.038842472079797,1.0936630861486556,1.1328870218875158,1.1730378432383888,1.2324434630389705,1.2521546364823695,2020-04-18,2020-04-24
27,33,1.0743954907097586,0.056625614307618546,0.96626450781209,0.9829819386355757,1.0356792749603412,1.073400843991157,1.1120274862088568,1.169201918092762,1.1881787703143267,2020-04-19,2020-04-25
28,34,1.039331759432791,0.055318047866250226,0.9337254278190388,0.950046020843656,1.0015047075527899,1.0383504968237882,1.076089181879402,1.1319647192683016,1.1505143257433121,2020-04-20,2020-04-26
29,35,0.9903491306430632,0.05386789123230092,0.8875719863676944,0.903441095193553,0.9535031164065985,0.9893726263907745,1.02613070547687,1.0805881581049577,1.0986754603970887,2020-04-21,2020-04-27
30,36,0.8739319729912028,0.05071067644101561,0.777356567218076,0.7922263944208309,0.839214609376173,0.872951324970638,0.9075803906090378,0.9589826856336738,0.9760800832148856,2020-04-22,2020-04-28
31,37,0.9131449878234857,0.05254558943901845,0.8130506098838406,0.82846800210444,0.8771756544032827,0.9121372995327939,0.9480158988105014,1.0012593449434533,1.0189657353388824,2020-04-23,2020-04-29
32,38,0.8827736021025345,0.05229099525207879,0.7832496825537298,0.7985591723855144,0.8469637591007981,0.8817413333139553,0.9174582341553751,0.9705092544844027,0.9881635596339935,2020-04-24,2020-04-30
33,39,0.8853973598058646,0.053007353407213804,0.7845424870814566,0.8000491038883775,0.8490913359344187,0.8843397623669992,0.9205505656254798,0.9743532396011947,0.9922621990058248,2020-04-25,2020-05-01
34,40,0.9244589110255018,0.05485654396794645,0.8200575837470839,0.8361160563711164,0.886891178255053,0.9233740920513567,0.9608441515574133,1.0165022450958576,1.0350249004350782,2020-04-26,2020-05-02
35,41,0.8936593401656776,0.05438637548154712,0.7902327133670952,0.8061225466892528,0.8563998176625509,0.8925562995043882,0.9297165133193476,0.984958773516625,1.003354162321146,2020-04-27,2020-05-03
36,42,0.8780608785958782,0.054455024014903465,0.7745647796899326,0.7904509824239003,0.8407438181024868,0.8769354164552968,0.9141511537493863,0.9695099005642782,0.9879525747554943,2020-04-28,2020-05-04
37,43,0.8902345896777694,0.05553130798015963,0.7847123229065303,0.8009049915153702,0.8521766388079287,0.8890802070227787,0.9270342323713335,0.9835019669108912,1.0023167948682845,2020-04-29,2020-05-05
38,44,0.8401224960845322,0.05457182038252018,0.7365597233241156,0.7524198280157396,0.8026987787321789,0.8389411851015086,0.8762585626617294,0.9318548068109523,0.9503982032464618,2020-04-30,2020-05-06
39,45,0.9254080693003499,0.05817990684233358,0.8148805129636014,0.8318347803644685,0.8855301738776392,0.9241891088240864,0.9639572669166091,1.0231394236426907,1.0428625310165611,2020-05-01,2020-05-07
40,46,0.9533752843084123,0.05958595526927577,0.8401552733050691,0.8575275372574646,0.9125373070912876,0.9521341980053492,0.9928604445247735,1.0534565704145717,1.0736479377929828,2020-05-02,2020-05-08
41,47,0.8963847572081229,0.05798230984569445,0.7863344890427868,0.8031916997847561,0.8566248435400222,0.895134879715872,0.9347822802022174,0.9938413479510934,1.0135375999647158,2020-05-03,2020-05-09
42,48,0.8594509737762397,0.057296731585082646,0.7508119547348546,0.767427266686983,0.8201423969674762,0.8581780489630697,0.8973720464328123,0.9558168381716776,0.9753235126131322,2020-05-04,2020-05-10
43,49,0.8454563943668442,0.0576596475227304,0.7362149305888441,0.7529023563358473,0.8058842611619742,0.844145971157471,0.883600156681364,0.9424805077363806,0.962144446718872,2020-05-05,2020-05-11
44,50,0.8855126355774804,0.05997448340322219,0.7718581230318962,0.7892260760687717,0.8443564720316699,0.8841590093968941,0.9251933344428867,0.9864166415377462,1.0068592474100937,2020-05-06,2020-05-12
45,51,0.7534434012309571,0.05600300696635255,0.6476737886082224,0.6637531692876153,0.7149519384320875,0.752056299524418,0.7904229442897822,0.8478652932899156,0.8670952469515224,2020-05-07,2020-05-13
46,52,0.6805325446023218,0.054486209985723955,0.5779314592741804,0.5934584247269868,0.6430328256220343,0.6790789689027816,0.7164479214299361,0.7725651024341234,0.7913935099451793,2020-05-08,2020-05-14
47,53,0.6496894556579262,0.05510594040188594,0.5461765926832165,0.5617822130872485,0.6117209880763488,0.6481321133354755,0.6859605109571812,0.7429091265295364,0.7620517597566185,2020-05-09,2020-05-15
48,54,0.6803576894492853,0.05855586668224977,0.5704355816135441,0.5869909069211061,0.6400004777505404,0.6786785333179525,0.7188847281683644,0.7794524396101482,0.7998214072706968,2020-05-10,2020-05-16
49,55,0.7443168046051122,0.0633604540873585,0.6253173306956916,0.643253309664874,0.70065778630168,0.7425197120018319,0.7860170992267306,0.8515105690749315,0.8735280697301391,2020-05-11,2020-05-17
50,56,0.8518255075697267,0.06955126144777067,0.7209633102635801,0.7407421342932008,0.803939566130094,0.8499333116488996,0.8976490400509319,0.9693635488462523,0.9934399899891037,2020-05-12,2020-05-18
51,57,0.8756690615575989,0.071498079478597,0.741143884170775,0.76147633972983,0.8264427387607167,0.8737239009448332,0.9227752462497574,0.9964971248021227,1.021247492610851,2020-05-13,2020-05-19
52,58,1.0295587137040738,0.07827589951497547,0.8818528408667065,0.904277347391816,0.9757371770730284,1.0275756591664784,1.0812187641613846,1.1616046542750822,1.188533296929439,2020-05-14,2020-05-20
53,59,1.0931818571650325,0.08037232859953962,0.9413242483017195,0.9644247731444229,1.0379517044917534,1.0912127923047712,1.1462657530505804,1.2286557809435514,1.2562287333155326,2020-05-15,2020-05-21
54,60,1.1302616851056126,0.08073297750754375,0.9775585998323115,1.0008260596540401,1.0748113561978305,1.1283400536066193,1.1836174439688123,1.2662523361431932,1.2938845382812323,2020-05-16,2020-05-22
55,61,1.2206635363284333,0.08267376665122983,1.0639927971095595,1.0879342137771522,1.1639304914038082,1.218797586533845,1.275362679237267,1.359757927302131,1.3879376986270593,2020-05-17,2020-05-23
56,62,1.2424578094737437,0.08157135147035105,1.0877121369172316,1.1113977685766325,1.1865092259835543,1.240673125635291,1.2964610588257766,1.3796056982128782,1.407345139807447,2020-05-18,2020-05-24
57,63,1.1762437838113742,0.07739115912445858,1.0294388265942465,1.0519065491109252,1.1231605157169093,1.174546898442403,1.2274774203307075,1.3063693720056706,1.3326914722819505,2020-05-19,2020-05-25
58,64,1.1530785710131135,0.07521855223082011,1.0103538997209662,1.032206745074106,1.1014925101241668,1.1514434116504337,1.2028822795308187,1.2795281908117966,1.3050952176585213,2020-05-20,2020-05-26
59,65,1.1680470716727855,0.07462379009085479,1.0263537266748348,1.0480714231870567,1.11688553692805,1.1664582769385068,1.2174767851868162,1.2934423518651554,1.3187689397407207,2020-05-21,2020-05-27
60,66,1.127592725251591,0.07218672718812244,0.9905359412430131,1.0115408406324282,1.0781004579312878,1.1260526727083868,1.1754063020667183,1.2488979746619084,1.2734010469295167,2020-05-22,2020-05-28
61,67,1.0547556223780445,0.068951532058684,0.923931711094721,0.9439602325107032,1.0074659934022443,1.053253502585721,1.1004079151511708,1.170674987030865,1.194115494857222,2020-05-23,2020-05-29
62,68,0.9152005744934057,0.06392038079319173,0.7941994739966912,0.8126594659026531,0.871314379455823,0.9137128744177633,0.957465174267372,1.0228164857886473,1.0446556297248275,2020-05-24,2020-05-30
63,69,0.8324593362184971,0.06153716485374375,0.7162133342862089,0.7338910458428187,0.7901682793939818,0.8309435088409252,0.8730981619191048,0.936198392129391,0.957319064042769,2020-05-25,2020-05-31
64,70,0.8898014519401072,0.06489544061102898,0.7671491657776783,0.7858156527643381,0.8452129354103043,0.8882242880504699,0.9326708754702884,0.9991672427008093,1.0214160267475512,2020-05-26,2020-06-01
65,71,0.9550891163299772,0.06822065116642693,0.8260525784233503,0.8457139523628743,0.90823270569991,0.95346530712325,1.0001755819293194,1.070003381265433,1.0933530319437226,2020-05-27,2020-06-02
